date,symbol,open,high,low,close,adj_close,volume
2021-07-13,NDXCOMP,14715.133000,14803.676000,14660.190000,14677.654000,14677.654000,0
2021-07-14,NDXCOMP,14780.900000,14790.548000,14632.948000,14644.952000,14644.952000,0
2021-07-15,NDXCOMP,14635.781000,14650.375000,14451.803000,14543.133000,14543.133000,0
2021-07-16,NDXCOMP,14597.508000,14623.024000,14413.318000,14427.237000,14427.237000,0
2021-07-19,NDXCOMP,14274.984000,14313.596000,14178.657000,14274.984000,14274.984000,0
2021-07-20,NDXCOMP,14330.462000,14555.748000,14271.226000,14498.878000,14498.878000,0
2021-07-21,NDXCOMP,14508.747000,14633.145000,14498.654000,14631.954000,14631.954000,0
2021-07-22,NDXCOMP,14652.724000,14694.191000,14617.871000,14684.597000,14684.597000,0
2021-07-23,NDXCOMP,14753.058000,14846.057000,14698.770000,14836.991000,14836.991000,0
2021-07-26,NDXCOMP,14821.030000,14863.646000,14790.488000,14840.713000,14840.713000,0
2021-07-27,NDXCOMP,14807.947000,14811.078000,14503.756000,14660.576000,14660.576000,0
2021-07-28,NDXCOMP,14715.664000,14798.880000,14645.634000,14762.584000,14762.584000,0
2021-07-29,NDXCOMP,14771.168000,14833.739000,14761.378000,14778.264000,14778.264000,0
2021-07-30,NDXCOMP,14615.852000,14728.785000,14615.852000,14672.678000,14672.678000,0
2021-08-02,NDXCOMP,14758.604000,14770.406000,14665.671000,14681.069000,14681.069000,0
2021-08-03,NDXCOMP,14713.995000,14762.599000,14584.087000,14761.295000,14761.295000,0
2021-08-04,NDXCOMP,14747.211000,14812.374000,14734.120000,14780.533000,14780.533000,0
2021-08-05,NDXCOMP,14794.084000,14896.475000,14776.032000,14895.117000,14895.117000,0
2021-08-06,NDXCOMP,14864.216000,14890.182000,14788.588000,14835.762000,14835.762000,0
2021-08-09,NDXCOMP,14855.755000,14883.808000,14802.691000,14860.177000,14860.177000,0
2021-08-10,NDXCOMP,14887.745000,14894.611000,14754.484000,14788.087000,14788.087000,0
2021-08-11,NDXCOMP,14834.384000,14842.498000,14692.414000,14765.135000,14765.135000,0
2021-08-12,NDXCOMP,14751.356000,14824.306000,14698.943000,14816.262000,14816.262000,0
2021-08-13,NDXCOMP,14825.068000,14850.611000,14797.218000,14822.898000,14822.898000,0
2021-08-16,NDXCOMP,14771.530000,14794.681000,14610.024000,14793.762000,14793.762000,0
2021-08-17,NDXCOMP,14670.563000,14716.947000,14550.882000,14656.181000,14656.181000,0
2021-08-18,NDXCOMP,14636.244000,14697.252000,14516.302000,14525.914000,14525.914000,0
2021-08-19,NDXCOMP,14423.162000,14610.761000,14423.162000,14541.788000,14541.788000,0
2021-08-20,NDXCOMP,14571.532000,14722.164000,14571.532000,14714.663000,14714.663000,0
2021-08-23,NDXCOMP,14776.980000,14963.465000,14776.980000,14942.652000,14942.652000,0
2021-08-24,NDXCOMP,14978.142000,15034.887000,14965.536000,15019.800000,15019.800000,0
2021-08-25,NDXCOMP,15039.027000,15059.427000,15011.581000,15041.859000,15041.859000,0
2021-08-26,NDXCOMP,15025.166000,15059.634000,14939.561000,14945.807000,14945.807000,0
2021-08-27,NDXCOMP,14969.765000,15144.484000,14966.523000,15129.501000,15129.501000,0
2021-08-30,NDXCOMP,15165.944000,15288.083000,15165.120000,15265.890000,15265.890000,0
2021-08-31,NDXCOMP,15262.877000,15278.956000,15202.669000,15259.235000,15259.235000,0
2021-09-01,NDXCOMP,15308.975000,15379.504000,15302.111000,15309.381000,15309.381000,0
2021-09-02,NDXCOMP,15358.474000,15380.069000,15285.348000,15331.177000,15331.177000,0
2021-09-03,NDXCOMP,15313.415000,15375.564000,15283.668000,15363.516000,15363.516000,0
2021-09-07,NDXCOMP,15375.982000,15403.437000,15343.276000,15374.327000,15374.327000,0
2021-09-08,NDXCOMP,15360.346000,15360.346000,15206.610000,15286.637000,15286.637000,0
2021-09-09,NDXCOMP,15296.063000,15352.377000,15245.175000,15248.254000,15248.254000,0
2021-09-10,NDXCOMP,15332.918000,15349.470000,15111.311000,15115.494000,15115.494000,0
2021-09-13,NDXCOMP,15211.428000,15215.443000,15030.851000,15105.582000,15105.582000,0
2021-09-14,NDXCOMP,15168.448000,15181.188000,15008.302000,15037.759000,15037.759000,0
2021-09-15,NDXCOMP,15071.340000,15174.380000,14984.678000,15161.529000,15161.529000,0
2021-09-16,NDXCOMP,15120.093000,15205.501000,15047.141000,15181.924000,15181.924000,0
2021-09-17,NDXCOMP,15163.355000,15166.561000,14998.727000,15043.968000,15043.968000,0
2021-09-20,NDXCOMP,14758.136000,14841.815000,14530.073000,14713.903000,14713.903000,0
2021-09-21,NDXCOMP,14803.360000,14847.027000,14696.467000,14746.398000,14746.398000,0
2021-09-22,NDXCOMP,14800.589000,14950.120000,14767.015000,14896.847000,14896.847000,0
2021-09-23,NDXCOMP,14960.003000,15085.437000,14932.514000,15052.244000,15052.244000,0
2021-09-24,NDXCOMP,14961.615000,15067.559000,14946.566000,15047.699000,15047.699000,0
2021-09-27,NDXCOMP,14954.175000,15003.159000,14864.962000,14969.970000,14969.970000,0
2021-09-28,NDXCOMP,14787.206000,14817.737000,14539.883000,14546.683000,14546.683000,0
2021-09-29,NDXCOMP,14614.884000,14676.617000,14493.665000,14512.441000,14512.441000,0
2021-09-30,NDXCOMP,14582.602000,14632.357000,14444.299000,14448.581000,14448.581000,0
2021-10-01,NDXCOMP,14494.931000,14606.819000,14324.011000,14566.697000,14566.697000,0
2021-10-04,NDXCOMP,14493.124000,14499.736000,14181.691000,14255.485000,14255.485000,0
2021-10-05,NDXCOMP,14312.862000,14508.648000,14299.782000,14433.830000,14433.830000,0
2021-10-06,NDXCOMP,14289.449000,14509.549000,14259.068000,14501.911000,14501.911000,0
2021-10-07,NDXCOMP,14631.800000,14755.718000,14615.139000,14654.016000,14654.016000,0
2021-10-08,NDXCOMP,14694.717000,14699.911000,14569.683000,14579.537000,14579.537000,0
2021-10-11,NDXCOMP,14540.077000,14665.987000,14482.615000,14486.200000,14486.200000,0
2021-10-12,NDXCOMP,14539.086000,14552.706000,14441.600000,14465.925000,14465.925000,0
2021-10-13,NDXCOMP,14537.169000,14589.280000,14471.875000,14571.635000,14571.635000,0
2021-10-14,NDXCOMP,14717.503000,14827.555000,14699.525000,14823.429000,14823.429000,0
2021-10-15,NDXCOMP,14891.240000,14904.977000,14847.965000,14897.340000,14897.340000,0
2021-10-18,NDXCOMP,14839.742000,15026.681000,14833.281000,15021.809000,15021.809000,0
2021-10-19,NDXCOMP,15073.133000,15137.854000,15049.731000,15129.090000,15129.090000,0
2021-10-20,NDXCOMP,15160.004000,15178.391000,15071.150000,15121.678000,15121.678000,0
2021-10-21,NDXCOMP,15104.800000,15222.255000,15094.141000,15215.700000,15215.700000,0
2021-10-22,NDXCOMP,15158.065000,15193.014000,15021.022000,15090.200000,15090.200000,0
2021-10-25,NDXCOMP,15142.919000,15259.632000,15070.750000,15226.706000,15226.706000,0
2021-10-26,NDXCOMP,15317.501000,15384.000000,15198.230000,15235.715000,15235.715000,0
2021-10-27,NDXCOMP,15276.004000,15364.536000,15235.838000,15235.838000,15235.838000,0
2021-10-28,NDXCOMP,15304.736000,15452.303000,15290.306000,15448.118000,15448.118000,0
2021-10-29,NDXCOMP,15323.290000,15504.122000,15323.290000,15498.388000,15498.388000,0
2021-11-01,NDXCOMP,15541.262000,15598.947000,15470.817000,15595.915000,15595.915000,0
2021-11-02,NDXCOMP,15583.985000,15656.604000,15569.268000,15649.603000,15649.603000,0
