date	ouv	haut	bas	clot	vol	devise	
01/11/1999 00:00	5518.740	5549.780	5496.770	5524.920	12728800	Pts	
02/11/1999 00:00	5524.420	5551.820	5474.120	5546.950	28336500	Pts	
03/11/1999 00:00	5532.060	5592.090	5501.860	5560.870	40391100	Pts	
04/11/1999 00:00	5568.920	5650.820	5561.280	5635.620	42606000	Pts	
05/11/1999 00:00	5639.880	5680.670	5597.570	5658.100	35562700	Pts	
08/11/1999 00:00	5628.740	5681.020	5613.950	5647.940	23301600	Pts	
09/11/1999 00:00	5654.330	5755.250	5654.330	5694.730	32825400	Pts	
10/11/1999 00:00	5685.500	5742.420	5661.680	5742.420	32550800	Pts	
11/11/1999 00:00	5714.480	5803.840	5714.480	5802.360	36837500	Pts	
12/11/1999 00:00	5789.500	5824.300	5750.650	5791.050	35220000	Pts	
15/11/1999 00:00	5792.450	5861.000	5792.450	5859.290	34556800	Pts	
16/11/1999 00:00	5849.560	5914.200	5809.370	5909.520	40761900	Pts	
17/11/1999 00:00	5912.400	5950.800	5850.660	5870.170	38294700	Pts	
18/11/1999 00:00	5870.670	5956.410	5856.330	5950.050	39627200	Pts	
19/11/1999 00:00	5955.760	6032.670	5927.780	5955.970	60432700	Pts	
22/11/1999 00:00	5951.700	5998.460	5812.210	5819.890	37488700	Pts	
23/11/1999 00:00	5822.950	5869.680	5794.140	5814.740	35207400	Pts	
24/11/1999 00:00	5815.090	5852.450	5765.360	5818.730	31588100	Pts	
25/11/1999 00:00	5812.810	5967.610	5810.210	5961.450	28967500	Pts	
26/11/1999 00:00	5964.970	6023.010	5943.370	5958.070	29680300	Pts	
29/11/1999 00:00	5953.780	5978.640	5881.520	5888.880	29018400	Pts	
30/11/1999 00:00	5875.490	5896.730	5808.950	5896.040	33689400	Pts	
01/12/1999 00:00	5891.270	5960.590	5836.730	5933.840	37817900	Pts	
02/12/1999 00:00	5933.000	5995.010	5912.170	5937.200	40572100	Pts	
03/12/1999 00:00	5942.090	6127.120	5942.090	6119.170	44046600	Pts	
06/12/1999 00:00	6126.720	6188.680	6095.880	6142.190	40902000	Pts	
07/12/1999 00:00	6141.690	6188.490	6121.730	6158.770	36091900	Pts	
08/12/1999 00:00	6135.270	6140.850	6051.570	6115.590	31980900	Pts	
09/12/1999 00:00	6100.730	6178.170	6084.950	6118.060	38635500	Pts	
10/12/1999 00:00	6121.680	6158.180	6067.080	6097.900	30370400	Pts	
13/12/1999 00:00	6106.210	6159.210	6078.010	6127.200	29032600	Pts	
14/12/1999 00:00	6129.310	6247.240	6103.360	6187.990	36634000	Pts	
15/12/1999 00:00	6191.760	6232.750	6148.210	6232.750	41898800	Pts	
16/12/1999 00:00	6228.930	6364.090	6220.530	6341.290	57844800	Pts	
17/12/1999 00:00	6342.920	6443.050	6342.920	6353.900	89450800	Pts	
20/12/1999 00:00	6358.480	6393.200	6296.900	6378.660	29502100	Pts	
21/12/1999 00:00	6372.790	6423.880	6322.090	6418.680	21046200	Pts	
22/12/1999 00:00	6431.510	6531.750	6431.510	6492.530	24632300	Pts	
23/12/1999 00:00	6503.670	6798.190	6503.670	6782.390	52223500	Pts	
27/12/1999 00:00	6784.370	6992.920	6784.370	6837.410	31621200	Pts	
28/12/1999 00:00	6839.030	6885.200	6762.110	6861.540	21436700	Pts	
29/12/1999 00:00	6845.370	6888.510	6812.720	6859.580	17251300	Pts	
30/12/1999 00:00	6858.400	6972.660	6858.400	6958.140	12381700	Pts	
03/01/2000 00:00	6961.720	7159.330	6720.870	6750.760	43072500	Pts	
04/01/2000 00:00	6747.240	6755.360	6510.460	6586.950	46678400	Pts	
05/01/2000 00:00	6585.850	6585.850	6388.910	6502.070	52682800	Pts	
06/01/2000 00:00	6501.450	6539.310	6402.630	6474.920	41180600	Pts	
07/01/2000 00:00	6489.940	6791.530	6470.140	6780.960	56058900	Pts	
10/01/2000 00:00	6785.470	6975.260	6785.470	6925.520	42006200	Pts	
11/01/2000 00:00	6926.040	6943.830	6821.260	6891.250	43890000	Pts	
12/01/2000 00:00	6878.920	6913.500	6783.220	6912.810	34683100	Pts	
13/01/2000 00:00	6913.130	7106.450	6898.690	6955.980	48116200	Pts	
14/01/2000 00:00	6960.290	7207.450	6960.290	7173.220	47040900	Pts	
17/01/2000 00:00	7177.480	7297.040	7112.970	7258.900	44872800	Pts	
18/01/2000 00:00	7262.210	7306.480	7053.860	7072.120	46792700	Pts	
19/01/2000 00:00	7065.310	7110.190	6987.120	7091.040	43646500	Pts	
20/01/2000 00:00	7095.980	7230.750	7076.810	7112.660	46411600	Pts	
21/01/2000 00:00	7103.700	7103.700	6939.940	6992.750	47471900	Pts	
24/01/2000 00:00	6987.590	7092.500	6921.970	6931.990	33473100	Pts	
25/01/2000 00:00	6928.080	6928.080	6809.640	6809.640	44769800	Pts	
26/01/2000 00:00	6838.050	6980.930	6838.050	6969.370	40597700	Pts	
27/01/2000 00:00	6983.420	7169.870	6944.650	7126.130	43804300	Pts	
28/01/2000 00:00	7128.010	7214.580	7040.490	7066.600	35825300	Pts	
31/01/2000 00:00	7054.240	7054.240	6816.540	6835.600	41254200	Pts	
01/02/2000 00:00	6841.120	7052.220	6841.120	7050.460	48053900	Pts	
02/02/2000 00:00	7063.570	7172.050	7038.710	7171.950	43122700	Pts	
03/02/2000 00:00	7175.870	7354.560	7134.420	7354.260	60250500	Pts	
04/02/2000 00:00	7355.690	7491.790	7338.150	7444.610	52464500	Pts	
07/02/2000 00:00	7450.790	7450.790	7270.400	7296.320	38538900	Pts	
08/02/2000 00:00	7295.610	7570.550	7263.190	7549.880	47194000	Pts	
09/02/2000 00:00	7566.680	7676.560	7526.080	7629.110	54626900	Pts	
10/02/2000 00:00	7617.070	7709.270	7496.420	7709.270	56564600	Pts	
11/02/2000 00:00	7724.360	7812.090	7586.260	7611.550	85476300	Pts	
14/02/2000 00:00	7569.010	7660.390	7542.300	7644.800	31358900	Pts	
15/02/2000 00:00	7636.410	7699.970	7396.130	7396.130	40408400	Pts	
16/02/2000 00:00	7401.260	7596.900	7342.650	7490.320	54339000	Pts	
17/02/2000 00:00	7478.320	7637.460	7394.020	7580.530	48894300	Pts	
18/02/2000 00:00	7584.390	7658.880	7543.500	7573.780	52728400	Pts	
21/02/2000 00:00	7568.340	7590.530	7447.710	7590.530	24404000	Pts	
22/02/2000 00:00	7580.380	7725.500	7540.360	7607.940	51082700	Pts	
23/02/2000 00:00	7619.830	7772.280	7619.830	7698.970	42673800	Pts	
24/02/2000 00:00	7696.920	7813.200	7587.080	7640.530	38686700	Pts	
25/02/2000 00:00	7668.700	7776.840	7640.690	7738.680	34635700	Pts	
28/02/2000 00:00	7732.900	7747.370	7492.230	7587.130	31880900	Pts	
29/02/2000 00:00	7590.900	7700.360	7590.900	7644.550	32169600	Pts	
01/03/2000 00:00	7645.300	7769.010	7618.600	7727.930	42756100	Pts	
02/03/2000 00:00	7720.900	7950.660	7639.930	7945.770	39182700	Pts	
03/03/2000 00:00	7952.280	8022.480	7874.570	7960.030	34621900	Pts	
06/03/2000 00:00	7960.090	8030.590	7925.200	7975.780	21754400	Pts	
07/03/2000 00:00	7971.230	8136.160	7922.320	8064.970	54968200	Pts	
08/03/2000 00:00	8069.980	8097.680	7949.380	7987.000	51946300	Pts	
09/03/2000 00:00	7984.210	8084.920	7877.190	7949.150	58145700	Pts	
10/03/2000 00:00	7952.510	8076.310	7952.510	7975.950	43501700	Pts	
13/03/2000 00:00	7977.060	7991.070	7630.310	7693.850	36691900	Pts	
14/03/2000 00:00	7695.790	7757.030	7630.100	7650.050	36090800	Pts	
15/03/2000 00:00	7633.200	7633.200	7411.760	7414.460	50854600	Pts	
16/03/2000 00:00	7416.640	7648.280	7416.640	7583.960	64686400	Pts	
17/03/2000 00:00	7594.990	7834.540	7574.520	7710.920	510195600	Pts	
20/03/2000 00:00	7716.240	7887.970	7716.240	7872.380	36561300	Pts	
21/03/2000 00:00	7865.480	7865.480	7735.740	7807.930	36723000	Pts	
22/03/2000 00:00	7827.560	7949.720	7787.090	7798.620	42040400	Pts	
23/03/2000 00:00	7803.690	7873.030	7677.080	7694.780	35765700	Pts	
24/03/2000 00:00	7706.500	7932.420	7706.500	7932.420	37364200	Pts	
27/03/2000 00:00	7932.710	7939.920	7832.060	7892.490	27355300	Pts	
28/03/2000 00:00	7891.150	8031.210	7880.120	7931.930	36665900	Pts	
29/03/2000 00:00	7930.820	7963.700	7859.440	7864.760	34020800	Pts	
