# Variables fondamentales (macro/politiques) par presidentielle FR, a la date de prevision.
# STATUT DE SOURCAGE (audit E3), par colonne :
#   - gdp_growth, unemployment : ordres de grandeur REELS de series publiques (INSEE croissance/
#     chomage BIT), fiables a ~0.5 pt pour les elections recentes, plus approximatifs avant 1990.
#   - approval : RECONSTRUITE (moyennes de cote de satisfaction du sortant, sources sondagieres
#     heterogenes ; la plus incertaine, surtout avant 2002). C'est la colonne la moins sourcee.
# Ces variables n'alimentent QUE le modele national (P1/P6), devenu la brique SECONDAIRE du projet :
#   a n=11 il ne bat pas une heuristique triviale et n'est pas significatif (cf. results/AUDIT.md).
#   La brique significative est desormais le ML PAR CIRCONSCRIPTION sur donnees reelles (P9). Le
#   sourcage exact ligne a ligne de `approval` reste un TODO a faible ROI tant que le national est
#   secondaire. Ne PAS traiter ces chiffres comme une base publiable. Lire avec read_csv(comment='#').
# Colonnes :
#   gdp_growth    : croissance reelle du PIB (% annuel) sur la periode pre-electorale
#   unemployment  : taux de chomage (%) au sens BIT a la date de prevision
#   approval      : cote de popularite du camp sortant (% de satisfaits, 0..100)
#   tenure_years  : nombre d'annees de detention de la presidence par le camp de reference
election_id,gdp_growth,unemployment,approval,tenure_years
FR_pres_1965,4.8,1.5,55,6
FR_pres_1969,7.0,2.1,50,10
FR_pres_1974,4.3,2.8,48,15
FR_pres_1981,1.6,6.3,40,23
FR_pres_1988,4.7,10.0,55,7
FR_pres_1995,2.1,11.1,30,14
FR_pres_2002,1.1,8.7,50,7
FR_pres_2007,2.4,8.4,35,12
FR_pres_2012,0.2,9.8,35,5
FR_pres_2017,1.1,9.5,20,5
FR_pres_2022,2.5,7.4,40,5
