# Presidentielle 2012, 1er tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 2012 - Resultats'
#   (dataset contenant regions/departements/circonscriptions legislatives/cantons), feuille 'Circo leg T1'.
#   URL dataset: https://www.data.gouv.fr/datasets/election-presidentielle-2012-resultats-572124/
#   URL fichier xls: https://static.data.gouv.fr/ff/e9c9483d39e00030815089aca1e2939f9cb99a84b0136e43056790e47bb4f0.xls
# DONNEES REELLES (pas de fabrication). 577 circonscriptions.
# NOTE : en 2012, Melenchon (LFI ici) etait candidat du Front de Gauche (incluant le PCF) ; nuance
#   utilisee = LFI pour continuite de lignee avec 2017/2022, mais le perimetre du candidat differe
#   (FG 2012 != LFI seul en 2017/2022).
# Agregat national reconstitue (pondere par exprimes) vs officiel (1er tour 2012) :
#   PS 28.63 (off. 28.63) | LR 27.18 (off. 27.18) | RN 17.90 (off. 17.90) |
#   LFI 11.10 (off. 11.10) | MDM 9.13 (off. 9.13) | EELV 2.31 (off. 2.31) |
#   DLF 1.79 (off. 1.79) | NPA 1.15 (off. 1.15) | LO 0.56 (off. 0.56) |
#   SP 0.25 (off. 0.25)
# circo_id normalise au format AA-CC (departement zfill2 si numerique, sinon 2A/2B/ZA.. tel quel ;
#   circonscription zfill2) pour jointure avec fr_pres2017_circo.csv / fr_pres2022_circo.csv.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,PS,LR,RN,LFI,MDM,EELV,DLF,NPA,LO,SP
01-01,01,64752,24.21,29.1,20.82,9.32,10.35,1.99,2.26,1.08,0.62,0.24
01-02,01,72317,22.3,30.87,21.59,9.37,10.08,2.03,2.19,0.88,0.46,0.24
01-03,01,55280,22.94,31.61,16.41,10.08,11.48,3.46,2.13,1.09,0.48,0.32
01-04,01,69847,21.6,32.45,21.74,8.23,9.91,1.92,2.34,0.97,0.58,0.26
01-05,01,59163,22.87,27.75,22.29,11.43,9.12,2.13,2.28,1.2,0.66,0.28
02-01,02,58027,28.81,23.48,25.02,9.94,6.92,1.28,2.01,1.44,0.91,0.2
02-02,02,58561,28.15,25.21,24.91,10.12,6.64,1.07,1.91,1.01,0.72,0.25
02-03,02,55643,27.82,24.12,27.86,9.23,5.72,0.85,1.85,1.38,0.92,0.24
02-04,02,60868,27.67,22.74,26.37,11.43,6.58,1.05,1.87,1.24,0.79,0.25
02-05,02,64845,23.48,25.34,27.45,10.13,7.41,1.5,2.15,1.4,0.85,0.29
03-01,03,73276,30.44,23.2,17.97,14.02,8.39,1.68,2.04,1.28,0.75,0.23
03-02,03,68897,31.01,22.09,17.17,15.87,8.35,1.43,1.82,1.3,0.74,0.22
03-03,03,63777,27.38,27.06,19.97,10.6,9.27,1.6,2.06,1.18,0.66,0.21
04-01,04,49591,24.97,24.45,21.75,15.03,7.06,2.72,1.79,1.46,0.52,0.26
04-02,04,51197,23.76,26.45,19.71,15.26,7.78,3.1,1.87,1.31,0.45,0.3
05-01,05,45625,25.23,24.62,18.73,13.95,10.39,3.16,2.05,1.09,0.55,0.22
05-02,05,41152,23.66,27.75,16.56,14.12,9.28,4.14,2.05,1.59,0.58,0.27
06-01,06,62219,22.29,35.05,21.97,10.02,6.02,2.18,1.35,0.63,0.27,0.23
06-02,06,65621,19.4,32.9,24.36,9.96,7.45,2.7,1.83,0.85,0.31,0.24
06-03,06,67754,22.3,32.68,24.51,9.62,6.49,1.91,1.34,0.64,0.3,0.21
06-04,06,65778,16.77,35.65,26.77,9.69,5.87,2.05,1.85,0.78,0.34,0.23
06-05,06,67679,20.08,34.74,25.7,8.69,6.25,1.81,1.59,0.68,0.26,0.21
06-06,06,59655,17.16,40.1,24.79,6.51,6.78,2.0,1.66,0.6,0.22,0.18
06-07,06,70944,18.55,41.09,19.38,7.46,8.02,2.66,1.63,0.71,0.26,0.23
06-08,06,62417,17.76,43.33,21.99,6.87,5.9,1.77,1.41,0.6,0.21,0.16
06-09,06,60775,18.39,39.68,22.15,7.38,7.31,2.25,1.6,0.76,0.26,0.23
07-01,07,62660,27.19,21.63,21.39,14.58,8.45,2.51,2.03,1.35,0.6,0.26
07-02,07,75491,24.91,25.91,20.02,11.61,10.54,2.53,2.12,1.38,0.69,0.28
07-03,07,62567,26.07,23.29,18.7,16.54,8.19,3.42,1.63,1.37,0.57,0.22
08-01,08,57808,26.9,26.04,24.68,8.64,8.32,1.29,1.83,1.31,0.75,0.23
08-02,08,49457,32.62,21.52,24.22,10.58,6.08,1.15,1.67,1.2,0.7,0.25
08-03,08,46326,27.54,25.53,24.57,8.71,8.05,1.2,1.94,1.36,0.87,0.24
09-01,09,46704,36.18,17.36,15.8,17.7,6.31,2.96,1.37,1.48,0.6,0.24
09-02,09,49344,32.64,20.0,17.73,16.07,7.02,2.75,1.63,1.43,0.5,0.22
10-01,10,52141,20.54,31.27,27.34,6.94,8.45,1.24,2.26,1.04,0.69,0.23
10-02,10,60122,22.16,31.82,24.32,7.67,8.54,1.56,2.09,1.01,0.59,0.24
10-03,10,49922,25.9,27.56,23.77,9.28,8.09,1.42,2.19,0.97,0.56,0.28
11-01,11,76424,31.73,20.5,23.89,13.0,5.77,1.87,1.39,1.16,0.5,0.18
11-02,11,67200,27.81,23.13,24.84,13.13,5.94,1.82,1.42,1.19,0.51,0.21
11-03,11,72724,31.42,21.43,21.02,13.33,6.43,2.56,1.61,1.42,0.54,0.25
12-01,12,63468,27.62,29.42,13.29,10.62,13.4,2.16,1.7,1.12,0.45,0.22
12-02,12,58426,33.97,21.79,12.72,13.57,12.06,2.09,1.66,1.33,0.55,0.27
12-03,12,59819,26.95,24.99,16.3,12.73,12.13,2.76,1.75,1.55,0.61,0.24
13-01,13,58532,23.27,29.2,25.14,12.31,6.0,1.6,1.36,0.64,0.32,0.17
13-02,13,62062,21.5,39.49,16.79,10.18,7.16,2.72,1.11,0.64,0.21,0.19
