# Presidentielle 2017, 1er tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur, fichier 'Presidentielle_2017_Resultats_Tour_1.xls', feuille 'Circo. Leg. Tour 1'
#   (resultats provisoires ~9h30 le 24/04/2017 ; agregat national ~ officiel a ~0.25 pt pres ; 566 circos).
# circo_id normalise au format AA-CC (departement zfill2, circonscription zfill2) pour jointure avec 2022.
# Partis EXPLICITES : LFI=Melenchon, PS=Hamon, LR=Fillon, RN=Le Pen, ENS=Macron, DLF=Dupont-Aignan,
#   RES=Lassalle, NPA=Poutou, LO=Arthaud, UPR=Asselineau, SP=Cheminade. Lire avec comment='#'.
circo_id,departement,exprimes,ENS,RN,LR,LFI,PS,DLF,RES,NPA,LO,UPR,SP
01-01,01,64890,22.2,25.43,20.74,15.75,5.72,6.33,1.13,0.95,0.62,0.96,0.18
01-02,01,74756,23.27,25.84,21.02,15.67,4.85,6.03,0.8,0.79,0.51,1.05,0.17
01-03,01,57446,25.33,18.63,24.18,16.88,5.64,5.19,1.07,1.03,0.47,1.41,0.18
01-04,01,71203,22.04,27.29,22.12,13.68,4.66,6.77,0.98,0.89,0.58,0.8,0.19
01-05,01,57503,20.26,26.97,19.12,18.03,4.9,5.87,1.43,1.16,0.65,1.43,0.18
02-01,02,56349,18.58,35.8,15.55,16.47,4.58,5.07,0.83,1.11,1.08,0.75,0.17
02-02,02,56280,19.4,32.62,17.46,17.91,4.26,4.93,0.71,1.09,0.85,0.61,0.16
02-03,02,52281,15.26,39.98,16.55,15.28,4.03,5.02,0.85,1.13,1.04,0.68,0.19
02-04,02,59069,18.19,35.51,15.22,18.21,4.25,4.89,0.73,1.07,0.9,0.85,0.18
02-05,02,64220,18.03,34.85,16.75,16.9,4.1,5.46,0.82,1.08,0.93,0.86,0.22
03-01,03,68974,23.6,22.21,18.74,20.36,5.73,5.11,1.31,1.21,0.86,0.69,0.19
03-02,03,63230,23.38,21.72,17.29,22.38,5.71,4.84,1.59,1.27,0.87,0.78,0.18
03-03,03,60589,24.23,23.13,20.87,16.72,5.09,5.34,1.78,1.14,0.66,0.85,0.18
04-01,04,48644,19.66,26.34,17.16,22.07,5.01,4.91,1.85,1.26,0.57,0.94,0.22
04-02,04,51069,20.35,22.81,19.77,22.93,4.98,4.84,1.61,1.1,0.47,0.93,0.19
05-01,05,45614,22.37,22.59,18.1,20.89,5.94,5.59,1.68,1.17,0.51,1.02,0.14
05-02,05,41313,21.17,19.78,20.31,22.43,5.81,5.78,2.04,1.25,0.43,0.77,0.24
06-01,06,59842,21.02,23.64,26.85,17.81,4.51,3.26,0.82,0.58,0.31,1.06,0.12
06-02,06,67114,18.47,29.79,23.14,16.39,3.8,4.82,1.18,0.76,0.37,1.03,0.23
06-03,06,67103,19.75,26.87,24.64,17.73,4.13,3.86,0.85,0.61,0.32,1.09,0.14
06-04,06,65930,16.05,33.02,25.12,14.89,3.03,4.46,1.11,0.72,0.36,1.08,0.16
06-05,06,68079,18.34,30.55,24.83,15.56,3.46,4.27,1.03,0.56,0.27,1.01,0.12
06-06,06,61691,18.69,29.64,28.95,12.17,3.02,4.84,0.78,0.53,0.22,1.0,0.16
06-07,06,73654,21.81,22.45,31.03,13.38,3.95,4.46,0.84,0.6,0.25,1.05,0.18
06-08,06,62327,17.69,26.77,33.12,13.13,2.85,3.85,0.65,0.54,0.26,0.99,0.17
06-09,06,62180,19.33,27.17,29.08,13.56,3.45,4.63,0.77,0.63,0.27,0.97,0.14
07-01,07,61074,21.21,25.27,15.06,22.37,6.23,4.71,1.86,1.3,0.66,1.15,0.18
07-02,07,74367,23.12,22.9,19.04,18.35,5.84,6.15,1.57,1.23,0.7,0.91,0.18
07-03,07,61632,20.38,21.3,17.56,25.26,6.0,4.13,2.07,1.48,0.63,0.97,0.21
08-01,08,56478,18.8,32.27,18.65,16.01,4.69,5.73,0.92,1.07,0.88,0.79,0.19
08-02,08,46687,18.08,32.3,14.11,21.35,5.57,4.69,0.86,1.21,0.9,0.74,0.2
08-03,08,43638,18.0,32.71,18.69,16.41,4.56,5.46,1.11,1.2,1.06,0.66,0.15
09-01,09,44960,21.74,20.3,11.69,27.97,8.45,3.37,3.49,1.38,0.62,0.85,0.14
09-02,09,48428,20.14,22.99,13.73,25.65,7.31,3.83,3.58,1.16,0.58,0.87,0.16
10-01,10,51435,17.13,33.23,23.79,11.96,3.53,6.94,0.75,0.91,0.77,0.78,0.2
10-02,10,58612,20.03,29.55,23.55,13.42,4.08,6.29,0.69,0.81,0.67,0.74,0.16
10-03,10,51021,19.63,28.28,21.72,16.61,4.59,5.84,0.72,0.87,0.62,0.94,0.18
11-01,11,75390,20.34,29.01,14.2,21.45,6.59,3.78,2.0,1.21,0.58,0.68,0.16
11-02,11,67867,19.28,29.83,15.88,21.21,5.59,3.86,1.69,1.08,0.55,0.87,0.16
11-03,11,71096,20.52,25.98,15.19,21.88,6.83,3.93,2.79,1.21,0.54,0.95,0.17
12-01,12,62573,26.84,14.87,24.13,17.16,5.95,5.09,3.42,1.12,0.55,0.69,0.19
12-02,12,55799,26.58,15.82,17.94,22.05,6.56,4.61,3.46,1.3,0.68,0.83,0.16
12-03,12,58090,24.02,18.0,19.89,20.05,6.02,4.82,4.12,1.54,0.66,0.7,0.18
13-01,13,59676,18.93,29.63,21.29,19.45,3.98,3.93,0.81,0.65,0.31,0.86,0.14
13-02,13,62155,23.65,17.65,32.41,15.98,4.81,2.99,0.79,0.54,0.23,0.8,0.14
13-03,13,52940,18.24,31.01,15.96,24.36,4.17,3.26,0.74,0.64,0.32,1.15,0.15
13-04,13,40851,21.81,14.36,10.84,39.09,8.68,1.65,0.66,1.0,0.47,1.25,0.19
13-05,13,52226,22.08,19.6,20.21,25.07,6.96,2.99,0.87,0.79,0.37,0.89,0.16
13-06,13,56583,20.61,25.8,23.02,19.89,4.46,3.58,0.73,0.64,0.34,0.78,0.14
13-07,13,41652,16.97,26.08,7.69,38.63,5.13,2.01,0.55,0.83,0.6,1.29,0.22
13-08,13,78268,19.12,29.9,19.72,18.62,4.07,5.04,1.11,0.82,0.43,1.0,0.18
13-09,13,75772,17.9,28.03,22.12,20.88,3.76,4.14,1.02,0.75,0.36,0.87,0.17
13-10,13,85378,19.18,30.96,19.32,19.21,3.92,4.41,1.03,0.69,0.36,0.77,0.16
13-11,13,69914,22.74,23.0,24.36,18.79,4.42,3.89,0.9,0.67,0.29,0.78,0.16
13-12,13,71051,16.1,37.29,16.59,19.12,3.38,4.42,0.96,0.74,0.39,0.84,0.15
13-13,13,72012,14.74,32.12,11.72,29.88,3.76,3.99,1.03,0.97,0.63,0.99,0.16
13-14,13,77192,24.76,18.99,24.51,19.6,5.43,3.72,0.9,0.71,0.29,0.9,0.18
13-15,13,84141,17.94,30.42,22.36,17.0,3.81,4.92,1.35,0.81,0.45,0.76,0.19
13-16,13,69888,16.35,32.52,16.13,22.71,4.52,4.05,1.3,0.98,0.47,0.79,0.18
14-01,14,56869,29.27,12.59,20.19,21.6,9.39,3.83,0.56,1.17,0.61,0.64,0.14
14-02,14,53121,26.58,17.3,14.31,25.05,8.97,4.02,0.64,1.43,0.82,0.7,0.17
14-03,14,62115,20.46,26.62,19.73,17.87,5.53,5.63,0.84,1.44,0.97,0.77,0.16
14-04,14,80644,23.45,20.77,25.96,16.31,5.21,4.83,0.75,1.15,0.68,0.71,0.17
14-05,14,72783,25.74,20.64,22.02,16.52,6.45,5.28,0.75,1.17,0.64,0.64,0.17
14-06,14,76090,24.45,22.49,18.45,18.07,6.38,5.96,0.76,1.54,0.92,0.76,0.21
15-01,15,49464,28.89,17.25,21.56,16.78,5.81,4.31,2.66,1.21,0.71,0.63,0.19
15-02,15,42102,24.21,19.25,25.95,14.88,4.6,4.55,3.62,1.38,0.81,0.51,0.25
16-01,16,63425,27.48,17.95,16.11,22.31,7.72,4.17,1.31,1.19,0.67,0.9,0.21
16-02,16,64783,23.95,22.92,19.21,18.25,5.56,5.42,1.59,1.32,0.81,0.73,0.24
16-03,16,70805,23.94,23.11,15.66,20.88,5.75,5.44,1.73,1.57,0.99,0.7,0.23
17-01,17,79586,29.05,13.05,22.16,21.09,7.48,3.7,1.06,0.99,0.47,0.78,0.17
17-02,17,81594,24.95,20.07,17.8,21.11,6.19,5.44,1.4,1.43,0.69,0.76,0.17
17-03,17,63274,22.74,22.47,18.38,20.02,6.01,5.67,1.4,1.4,0.84,0.86,0.21
17-04,17,70139,21.38,25.68,21.08,16.42,4.62,5.99,1.7,1.37,0.77,0.81,0.19
17-05,17,87675,21.14,24.9,22.95,16.36,4.54,5.91,1.39,1.23,0.64,0.77,0.18
18-01,18,54885,23.06,21.83,22.1,17.94,5.49,5.35,1.08,1.23,0.85,0.87,0.21
18-02,18,52033,22.0,24.41,16.47,22.61,5.18,5.07,0.98,1.22,1.04,0.86,0.17
18-03,18,65765,21.24,25.96,18.65,18.37,5.24,6.06,1.25,1.21,0.95,0.85,0.22
19-01,19,73614,26.41,16.91,16.26,22.4,6.51,4.8,3.24,1.76,0.75,0.71,0.25
19-02,19,72000,27.47,17.78,18.69,19.26,6.21,4.88,2.59,1.42,0.69,0.8,0.2
2A-01,2A,34173,19.32,28.46,23.74,13.8,3.92,2.92,5.87,0.9,0.26,0.66,0.15
2A-02,2A,38694,16.59,28.77,27.39,13.88,3.12,3.15,5.02,0.9,0.33,0.67,0.17
2B-01,2B,39215,18.13,28.49,24.96,14.35,4.02,2.76,5.03,0.87,0.34,0.6,0.44
2B-02,2B,42293,19.85,26.04,25.76,12.99,3.92,2.75,6.73,0.9,0.34,0.58,0.15
21-01,21,55037,28.19,13.97,25.47,18.16,7.03,4.15,0.73,0.77,0.47,0.91,0.15
21-02,21,54058,24.51,21.91,20.0,18.8,6.34,5.09,0.81,0.98,0.55,0.83,0.17
21-03,21,55025,24.19,23.24,16.63,20.62,6.63,5.33,0.75,0.9,0.6,0.92,0.19
21-04,21,54404,20.24,26.45,20.95,17.05,5.02,5.88,1.2,1.28,0.88,0.84,0.19
21-05,21,66601,21.54,26.27,22.89,15.13,4.7,5.72,1.09,1.01,0.65,0.82,0.18
22-01,22,72645,30.93,14.31,16.7,21.32,9.32,3.81,0.74,1.35,0.69,0.66,0.17
22-02,22,80769,26.96,17.33,21.57,18.24,7.65,4.46,0.89,1.27,0.78,0.68,0.17
22-03,22,72302,27.77,19.04,19.22,17.76,7.07,5.11,0.91,1.44,0.86,0.65,0.17
22-04,22,64382,26.18,17.44,14.15,23.88,9.25,4.09,1.19,1.97,1.05,0.62,0.18
22-05,22,84871,28.02,14.52,19.27,20.71,9.71,3.84,1.03,1.35,0.71,0.68,0.15
23-01,23,70251,22.5,19.88,17.99,21.11,7.82,5.01,1.92,1.72,0.97,0.83,0.25
24-01,24,59451,22.87,20.15,15.83,25.01,6.72,4.36,2.03,1.4,0.61,0.85,0.18
24-02,24,64553,21.97,23.82,17.57,20.7,5.59,4.65,2.68,1.36,0.6,0.85,0.2
24-03,24,54090,21.49,21.56,17.85,22.42,6.09,4.85,2.43,1.57,0.79,0.74,0.21
24-04,24,70616,23.42,18.45,17.14,23.75,6.91,4.54,2.55,1.45,0.63,0.96,0.2
25-01,25,57867,24.91,19.9,18.61,21.24,7.23,4.52,0.74,1.09,0.64,0.97,0.16
25-02,25,61437,25.19,18.25,21.08,20.43,6.93,4.36,0.82,1.13,0.62,0.96,0.23
25-03,25,50005,20.19,28.27,20.69,16.24,4.88,5.33,0.93,1.37,0.83,1.12,0.15
25-04,25,49711,19.45,31.48,15.92,17.87,5.52,5.14,0.86,1.26,1.02,1.31,0.17
25-05,25,65159,21.95,21.67,27.55,13.74,4.14,6.47,1.08,1.43,0.58,1.18,0.2
26-01,26,57284,24.4,19.59,20.12,20.45,6.88,4.7,0.97,1.06,0.58,1.11,0.15
26-02,26,71501,20.73,28.34,17.94,18.51,4.93,5.47,1.28,1.01,0.58,1.02,0.18
26-03,26,85984,21.65,21.2,18.09,22.73,6.6,4.85,1.77,1.28,0.63,1.01,0.19
26-04,26,73971,21.36,26.07,18.24,18.24,5.75,5.71,1.19,1.0,1.23,1.02,0.21
27-01,27,67226,19.87,29.22,20.1,16.51,4.81,5.77,0.8,1.05,0.8,0.9,0.17
27-02,27,62611,20.53,28.82,19.17,17.12,5.11,5.5,0.73,1.21,0.84,0.77,0.2
27-03,27,67599,18.95,30.19,20.05,16.52,4.52,5.97,0.82,1.22,0.81,0.77,0.18
27-04,27,70029,20.49,28.23,16.16,19.98,5.61,5.79,0.7,1.25,0.71,0.93,0.16
27-05,27,69310,19.63,30.08,18.83,17.13,5.16,5.31,0.82,1.12,0.76,0.97,0.19
28-01,28,70492,25.13,20.13,22.58,16.71,5.94,5.83,0.83,0.99,0.63,1.06,0.18
28-02,28,55680,19.84,26.45,19.97,18.78,5.59,5.56,0.73,1.01,0.72,1.14,0.19
28-03,28,55024,21.71,26.07,21.64,15.42,5.12,6.16,0.85,1.18,0.85,0.79,0.2
28-04,28,53583,19.28,29.16,23.01,13.65,4.11,6.54,0.9,1.4,0.95,0.81,0.2
29-01,29,72932,32.72,12.01,18.54,18.22,10.76,4.0,0.93,1.41,0.6,0.68,0.14
29-02,29,59749,29.4,12.56,16.24,21.78,13.43,3.44,0.68,1.14,0.47,0.71,0.14
29-03,29,72742,28.89,14.5,18.12,18.71,11.38,4.64,1.03,1.24,0.63,0.73,0.14
29-04,29,66994,29.04,12.57,18.92,20.88,10.93,3.66,1.12,1.45,0.69,0.57,0.19
29-05,29,78076,30.19,13.75,19.39,17.81,10.86,4.47,0.99,1.27,0.59,0.52,0.16
29-06,29,72498,27.86,14.9,17.44,20.12,10.51,4.27,1.43,1.88,0.74,0.7,0.15
29-07,29,64716,29.73,13.87,17.75,20.35,9.82,4.02,1.36,1.58,0.75,0.62,0.16
29-08,29,69477,27.64,16.72,16.71,20.22,9.87,3.97,1.32,1.86,0.75,0.79,0.16
30-01,30,65174,19.08,28.78,18.18,21.72,4.72,3.94,1.07,0.82,0.44,1.11,0.15
30-02,30,71263,17.46,33.54,18.01,18.84,4.07,4.55,1.29,0.82,0.41,0.86,0.15
30-03,30,74614,19.66,29.34,18.81,18.54,4.83,4.73,1.43,0.92,0.52,1.05,0.17
30-04,30,71894,18.04,30.77,15.15,22.82,4.6,4.33,1.59,1.03,0.57,0.93,0.16
30-05,30,75622,18.57,26.52,14.4,26.54,5.49,3.72,1.8,1.25,0.59,0.96,0.16
30-06,30,62115,20.04,26.64,19.1,20.95,5.54,4.09,1.21,0.88,0.44,0.93,0.17
31-01,31,63567,28.95,11.18,16.38,26.84,9.67,3.06,1.51,0.99,0.37,0.89,0.17
31-02,31,78503,27.57,14.13,17.24,24.89,8.51,3.73,1.55,0.93,0.42,0.87,0.16
31-03,31,63262,29.19,10.08,25.09,20.85,8.43,3.02,1.36,0.74,0.33,0.74,0.16
31-04,31,51231,26.71,9.15,16.77,30.39,10.95,2.39,1.17,1.0,0.37,0.93,0.18
31-05,31,80938,23.93,22.58,15.49,21.81,6.55,5.08,1.98,1.05,0.5,0.85,0.19
31-06,31,91652,29.0,17.4,14.87,22.4,7.96,4.29,1.7,0.92,0.45,0.82,0.18
31-07,31,80704,23.01,23.37,14.26,22.62,7.54,4.49,2.15,1.05,0.55,0.78,0.18
31-08,31,66707,21.31,23.56,14.58,21.47,7.53,4.06,4.77,1.19,0.56,0.79,0.19
31-09,31,60991,25.79,15.16,14.13,27.58,9.7,3.34,1.61,1.11,0.46,0.92,0.2
31-10,31,81316,28.74,15.73,17.39,21.33,8.3,4.15,2.13,0.93,0.37,0.75,0.18
32-01,32,60177,24.14,18.62,16.8,20.59,8.48,4.33,4.37,1.06,0.57,0.89,0.15
32-02,32,58506,22.65,20.82,19.15,18.29,7.56,4.74,4.15,1.05,0.57,0.85,0.16
33-01,33,73593,31.45,9.67,24.83,19.26,8.0,2.87,1.34,1.2,0.32,0.9,0.16
33-02,33,50569,31.87,6.0,21.0,24.41,11.2,2.04,1.12,1.21,0.23,0.8,0.13
33-03,33,61138,28.37,11.34,12.02,29.59,10.71,3.14,1.68,1.57,0.4,0.98,0.2
33-04,33,69524,24.64,19.84,12.2,25.48,8.31,4.25,1.69,1.8,0.57,1.04,0.2
33-05,33,87495,23.42,24.14,15.01,20.95,6.15,4.84,2.01,2.06,0.53,0.73,0.14
33-06,33,82511,31.06,14.02,16.31,21.5,8.4,4.35,1.53,1.44,0.39,0.83,0.17
33-07,33,60820,31.54,11.77,15.55,23.37,9.31,4.01,1.72,1.37,0.37,0.8,0.17
33-08,33,86274,24.68,18.88,24.6,17.07,5.13,4.76,2.19,1.31,0.41,0.78,0.2
33-09,33,75728,23.92,20.7,14.92,22.73,7.21,4.62,2.66,1.58,0.62,0.83,0.2
33-10,33,63512,22.3,25.21,17.81,18.93,6.07,4.5,2.24,1.55,0.46,0.72,0.2
33-11,33,72182,19.41,30.78,13.26,20.06,5.64,5.27,2.07,1.84,0.7,0.77,0.19
33-12,33,67469,23.22,21.34,16.47,21.94,6.86,4.41,2.69,1.58,0.53,0.77,0.18
34-01,34,65495,22.85,22.14,19.09,23.17,5.77,3.54,1.11,0.76,0.33,1.11,0.14
34-02,34,43412,24.58,10.98,15.89,33.71,9.5,2.04,0.68,0.97,0.35,1.16,0.15
34-03,34,69268,25.12,19.01,20.8,21.31,6.62,3.83,1.1,0.79,0.29,1.0,0.14
34-04,34,90905,20.69,25.16,16.42,23.79,5.73,4.09,1.57,0.97,0.44,1.0,0.12
34-05,34,74975,17.51,29.72,14.59,23.7,5.59,3.97,2.12,1.22,0.55,0.87,0.17
34-06,34,69694,17.01,34.04,18.23,19.13,4.33,3.72,1.51,0.76,0.41,0.72,0.14
34-07,34,79698,17.0,32.1,18.72,20.36,4.44,3.88,1.26,0.9,0.45,0.74,0.14
34-08,34,69180,20.84,26.01,15.84,23.89,5.95,3.83,1.22,0.89,0.38,0.99,0.16
34-09,34,64217,21.54,25.27,18.8,21.72,5.64,3.54,1.19,0.84,0.32,1.02,0.14
35-01,35,71832,33.53,9.99,15.21,22.88,11.62,3.67,0.58,1.02,0.62,0.7,0.18
35-02,35,77508,35.02,9.08,19.23,19.89,10.54,3.34,0.64,0.96,0.54,0.59,0.17
35-03,35,71194,29.76,16.04,17.02,20.12,8.68,4.71,0.82,1.24,0.79,0.65,0.17
35-04,35,74571,26.97,18.94,16.29,20.22,8.0,5.5,0.85,1.48,0.83,0.71,0.2
35-05,35,86103,29.47,15.38,21.52,17.34,6.75,5.77,0.78,1.26,0.9,0.66,0.17
