# Presidentielle 2022, 1er tour, PARTS DE VOTE (% des exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 10/24 avril 2022 -
#   resultats definitifs 1er tour', ressource 'resultats-par-niveau-cirlg-t1-france-entiere.txt'.
#   URL: https://www.data.gouv.fr/datasets/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour
# DONNEES REELLES (pas de fabrication). Agregat national reconstitue = resultats officiels au centieme.
# Partis EXPLICITES (pas de bloc) : LFI=Melenchon, PS=Hidalgo, EELV=Jadot, PCF=Roussel, RN=Le Pen,
#   ENS=Macron, LR=Pecresse, REC=Zemmour, RES=Lassalle, DLF=Dupont-Aignan, NPA=Poutou, LO=Arthaud.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,ENS,RN,LFI,REC,LR,EELV,RES,PCF,DLF,PS,NPA,LO
01-01,01,65584,27.18,27.21,16.38,7.58,5.7,4.37,3.73,1.94,2.67,2.08,0.67,0.48
01-02,01,77747,28.36,26.47,17.02,8.65,5.09,4.96,2.58,1.85,2.42,1.56,0.6,0.46
01-03,01,59919,30.87,19.56,20.19,8.07,4.87,6.25,3.09,1.34,3.04,1.57,0.71,0.46
01-04,01,72760,28.68,28.85,13.98,8.43,5.51,4.27,3.03,1.66,2.78,1.68,0.61,0.52
01-05,01,57014,22.74,27.4,20.33,8.53,5.17,3.97,4.15,2.14,2.67,1.61,0.7,0.59
02-01,02,52465,22.17,40.01,14.53,6.5,3.85,3.31,2.48,2.16,2.17,1.18,0.86,0.78
02-02,02,51406,23.75,36.08,16.56,7.45,4.8,2.54,2.11,2.23,1.88,1.12,0.74,0.72
02-03,02,48125,20.69,44.6,12.73,6.4,3.87,1.76,2.83,2.09,2.26,1.24,0.78,0.74
02-04,02,53914,21.97,38.79,16.9,6.97,3.62,2.58,2.03,2.47,2.06,1.12,0.75,0.73
02-05,02,59950,21.81,37.41,16.34,6.99,4.37,2.99,2.7,2.25,2.47,0.98,0.84,0.85
03-01,03,66667,26.62,27.3,16.27,6.21,5.55,3.11,4.11,5.25,2.14,1.84,0.8,0.79
03-02,03,59465,25.02,27.53,18.62,6.11,5.32,2.99,4.22,4.55,2.17,1.83,0.88,0.75
03-03,03,59823,28.55,26.32,15.2,7.66,5.77,3.56,4.23,3.2,2.5,1.61,0.75,0.64
04-01,04,46936,20.67,28.24,21.78,8.56,3.81,3.8,4.6,2.93,2.57,1.52,0.94,0.59
04-02,04,49747,22.31,25.64,23.38,7.85,4.11,4.37,4.32,2.71,2.61,1.37,0.86,0.46
05-01,05,44867,23.43,24.28,21.84,7.5,5.44,5.38,4.06,2.31,2.56,1.8,0.88,0.52
05-02,05,41368,24.16,21.28,23.97,6.76,5.01,6.28,4.95,2.15,2.41,1.57,0.98,0.47
06-01,06,56112,25.75,20.63,21.66,14.62,5.52,4.36,1.87,1.73,1.87,1.12,0.56,0.3
06-02,06,65133,22.69,29.1,16.95,11.93,5.01,4.54,3.19,1.77,2.85,0.99,0.65,0.33
