# Presidentielle 2022, 2nd tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative.
# Source : ministere de l'Interieur via data.gouv.fr, ressource resultats-par-niveau-cirlg-t2-france-entiere.txt
#   (jeu 'Election presidentielle 2022 - resultats definitifs du 2nd tour'). DONNEES REELLES.
# ENS=Macron, RN=Le Pen. Agregat national reconstitue = officiel (58.55 / 41.45). Lire avec comment='#'.
circo_id,departement,exprimes,ENS_t2,RN_t2
01-01,01,60195,54.28,45.72
01-02,01,70564,55.21,44.79
01-03,01,54023,62.64,37.36
01-04,01,67120,52.46,47.54
01-05,01,51103,50.79,49.21
02-01,02,50342,39.78,60.22
02-02,02,49135,43.56,56.44
02-03,02,47123,34.55,65.45
02-04,02,51897,40.67,59.33
02-05,02,57000,41.43,58.57
03-01,03,59957,52.44,47.56
03-02,03,53009,50.93,49.07
03-03,03,54441,53.64,46.36
04-01,04,41598,46.31,53.69
04-02,04,44200,50.67,49.33
05-01,05,40293,53.28,46.72
05-02,05,36366,57.05,42.95
06-01,06,51150,56.91,43.09
06-02,06,60663,46.11,53.89
06-03,06,57770,54.01,45.99
06-04,06,57965,42.55,57.45
06-05,06,60528,47.25,52.75
06-06,06,55765,47.12,52.88
06-07,06,67523,56.42,43.58
06-08,06,55474,50.22,49.78
06-09,06,55780,50.57,49.43
07-01,07,51947,50.11,49.89
07-02,07,66970,54.36,45.64
07-03,07,52841,52.26,47.74
08-01,08,49689,45.18,54.82
08-02,08,39241,42.15,57.85
08-03,08,38203,42.15,57.85
09-01,09,36743,52.91,47.09
09-02,09,40171,49.44,50.56
10-01,10,45808,45.27,54.73
10-02,10,52660,48.72,51.28
10-03,10,43997,51.02,48.98
11-01,11,67239,44.69,55.31
11-02,11,61106,44.37,55.63
11-03,11,61158,46.28,53.72
12-01,12,54093,63.51,36.49
12-02,12,46199,58.2,41.8
12-03,12,49453,58.06,41.94
13-01,13,52326,49.95,50.05
13-02,13,55167,65.06,34.94
13-03,13,44828,50.75,49.25
13-04,13,34009,76.58,23.42
13-05,13,45017,66.18,33.82
13-06,13,49000,54.9,45.1
13-07,13,32881,60.55,39.45
13-08,13,70727,47.43,52.57
13-09,13,67496,47.97,52.03
13-10,13,77257,45.92,54.08
13-11,13,63200,57.32,42.68
13-12,13,64591,40.71,59.29
13-13,13,60283,41.4,58.6
13-14,13,68476,61.22,38.78
13-15,13,77699,45.93,54.07
13-16,13,60931,44.65,55.35
14-01,14,50762,72.7,27.3
14-02,14,46041,65.71,34.29
14-03,14,55648,49.98,50.02
14-04,14,74131,59.01,40.99
14-05,14,66905,60.62,39.38
14-06,14,69052,56.92,43.08
15-01,15,43453,59.23,40.77
15-02,15,36823,52.35,47.65
16-01,16,54170,62.41,37.59
16-02,16,57553,52.87,47.13
16-03,16,62020,50.67,49.33
17-01,17,73629,70.89,29.11
17-02,17,77191,57.77,42.23
17-03,17,56865,52.33,47.67
17-04,17,65565,48.6,51.4
17-05,17,83929,50.94,49.06
18-01,18,47119,56.15,43.85
18-02,18,44169,52.82,47.18
18-03,18,56611,49.37,50.63
