date	ouv	haut	bas	clot	vol	devise	
19/08/2016 00:00	128.08	128.67	127.86	127.97	10660100	USD	
22/08/2016 00:00	127.63	127.92	127.45	127.78	8627200	USD	
23/08/2016 00:00	128.14	128.22	127.61	127.76	9038500	USD	
24/08/2016 00:00	126.92	126.97	126.3	126.34	13539700	USD	
25/08/2016 00:00	125.98	126.31	125.96	126.23	5926300	USD	
26/08/2016 00:00	126.88	128.11	125.82	126.05	17967700	USD	
29/08/2016 00:00	126.0	126.48	125.93	126.3	5562400	USD	
30/08/2016 00:00	125.73	125.95	124.88	125.03	9877000	USD	
31/08/2016 00:00	124.73	125.11	124.64	124.78	13324100	USD	
01/09/2016 00:00	124.67	125.51	124.55	125.29	12877700	USD	
02/09/2016 00:00	126.29	126.57	125.58	126.57	11318600	USD	
06/09/2016 00:00	127.4	129.08	127.27	128.71	15115300	USD	
07/09/2016 00:00	128.79	128.86	128.12	128.27	8859800	USD	
08/09/2016 00:00	128.16	128.52	127.4	127.59	10561800	USD	
09/09/2016 00:00	127.24	127.51	126.7	126.75	12485600	USD	
12/09/2016 00:00	126.31	126.92	125.97	126.59	11140300	USD	
13/09/2016 00:00	126.47	126.6	125.53	125.75	8866400	USD	
14/09/2016 00:00	126.1	126.54	126.03	126.18	5820700	USD	
15/09/2016 00:00	125.73	126.1	124.91	125.37	12790400	USD	
16/09/2016 00:00	124.81	125.25	124.67	125.06	18995100	USD	
19/09/2016 00:00	125.61	125.62	125.25	125.32	4959600	USD	
20/09/2016 00:00	125.31	125.59	125.17	125.44	5672000	USD	
21/09/2016 00:00	126.33	127.42	125.96	127.27	13646400	USD	
22/09/2016 00:00	127.57	128.2	127.5	127.57	15188000	USD	
23/09/2016 00:00	127.6	127.86	127.43	127.65	7702300	USD	
26/09/2016 00:00	127.96	128.04	127.42	127.55	5842700	USD	
27/09/2016 00:00	126.86	126.9	126.34	126.62	6220700	USD	
28/09/2016 00:00	126.25	126.4	125.73	126.22	6757700	USD	
29/09/2016 00:00	125.84	126.34	125.54	126.07	7448400	USD	
