as_of_date,open_interest,nc_long,nc_short
1986-01-15,148186,18589,7706
1986-01-31,144149,15364,9303
1986-02-14,139995,5457,12229
1986-02-28,143752,7991,12222
1986-03-14,142868,12637,11015
1986-03-31,136568,9817,11406
1986-04-15,138825,6805,20416
1986-04-30,132088,8159,10519
1986-05-15,132147,4649,10375
1986-05-30,115038,4982,13683
1986-06-13,115960,11657,10839
1986-06-30,120954,5361,13631
1986-07-15,121925,6735,11983
1986-07-31,125988,18617,9540
1986-08-15,134903,23234,10589
1986-08-29,136959,23229,10291
1986-09-15,149809,24807,10423
1986-09-30,136574,22421,7840
1986-10-15,147411,21274,10239
1986-10-31,146778,12673,9373
1986-11-14,150800,15816,11905
1986-11-28,131679,10148,8849
1986-12-15,134005,13089,11027
1986-12-31,140744,9405,8347
1987-01-15,139318,14063,8147
1987-01-30,130078,13453,9022
1987-02-13,138130,7705,14024
1987-02-27,140016,7349,12273
1987-03-13,145109,10654,10265
1987-03-31,156832,18464,10076
1987-04-15,171395,27260,9006
1987-04-30,175437,24684,12933
1987-05-15,170819,32997,6294
1987-05-29,150964,24267,8705
1987-06-15,149219,20380,11899
1987-06-30,146960,15476,11621
1987-07-15,146076,16101,7483
1987-07-31,150523,23945,6857
1987-08-14,150693,18612,10402
1987-08-31,148815,16503,15979
1987-09-15,146895,16196,12249
1987-09-30,142634,17083,9981
1987-10-15,143498,19848,7101
1987-10-30,133422,15243,9416
1987-11-13,132803,10867,9427
1987-11-30,152206,24270,8453
1987-12-15,158831,20912,9291
1987-12-31,150106,14523,9354
1988-01-15,146350,13275,9794
1988-01-29,146192,9803,19037
1988-02-12,150569,3759,26630
1988-02-29,158223,4067,29807
1988-03-15,161792,6054,23501
1988-03-31,148310,5401,24023
1988-04-15,156961,5491,24441
1988-04-29,154184,2580,19679
1988-05-13,153681,4835,13402
1988-05-31,146461,8320,11067
1988-06-15,142022,7185,10455
1988-06-30,151645,4658,23026
1988-07-15,149809,8779,22871
1988-07-29,139382,3850,18769
1988-08-15,139252,4761,18548
1988-08-31,142631,4905,18415
1988-09-15,155243,3567,27502
1988-09-30,156546,4427,33064
1988-10-14,159467,4517,33787
1988-10-31,160894,4381,31358
1988-11-15,148897,8125,15896
1988-11-30,148286,5517,17263
1988-12-15,145811,5445,17648
1988-12-30,152731,6837,21800
1989-01-13,163937,5233,29394
1989-01-31,170221,5009,37911
1989-02-15,168943,5828,32830
1989-02-28,165774,4394,32432
1989-03-15,165615,6347,25675
1989-03-31,163649,3422,33947
1989-04-14,158340,6079,29001
1989-04-28,168488,2448,32920
1989-05-15,188114,6010,30245
1989-05-31,179513,3414,28885
1989-06-15,163699,5891,24023
1989-06-30,157858,8381,21462
1989-07-14,154241,7662,19453
1989-07-31,148279,3696,18587
1989-08-15,147488,6197,20394
1989-08-31,156595,3477,28851
1989-09-15,154493,10113,23924
1989-09-29,147468,5134,16802
1989-10-13,143681,3906,20467
1989-10-31,151142,15567,12768
1989-11-15,153379,22440,9204
1989-11-30,147759,28985,11049
1989-12-15,156019,30438,8513
1989-12-29,150931,22982,8581
1990-01-15,149393,21782,5238
1990-01-31,131994,13694,7321
1990-02-15,130564,20315,5565
1990-02-28,121920,11965,8989
1990-03-15,132871,13967,18303
1990-03-30,116812,9414,21463
1990-04-12,118177,7110,21181
1990-04-30,123601,6364,20632
1990-05-15,118492,5297,19403
1990-05-31,104625,5233,18710
1990-06-15,117247,4110,26452
1990-06-29,112142,4316,20190
1990-07-13,107275,5878,15214
1990-07-31,98923,8016,5875
1990-08-15,125895,23830,7522
1990-08-31,123147,20892,10597
1990-09-14,113077,13775,7718
1990-09-28,116620,24684,3187
1990-10-15,116656,17794,9063
1990-10-31,114534,10974,9392
1990-11-15,111194,5893,8204
1990-11-30,101946,7264,6135
1990-12-14,111586,4781,10532
1990-12-31,107610,9228,4426
1991-01-15,118173,17648,6122
1991-01-31,93496,2044,14302
1991-02-15,95750,2515,16880
1991-02-28,98025,1612,16447
1991-03-15,98708,3111,14868
1991-03-28,102541,1724,21208
1991-04-15,97290,4002,18163
