date,ticker,code,shares,price,value
2015-05-28,AAPL,S,70000.0,131.47,9202900.0
2015-06-24,AAPL,S,12697.0,128.45,1630929.65
2015-06-24,AAPL,S,11388.0,129.21,1471443.48
2015-07-20,AAPL,S,8886.0,131.46,1168153.56
2015-07-20,AAPL,S,15410.0,132.22,2037510.2
2015-07-20,AAPL,S,704.0,132.86,93533.44
2015-07-21,AAPL,S,16189.0,131.03,2121244.67
2015-07-21,AAPL,S,3000.0,131.69,395070.0
2015-07-21,AAPL,S,600.0,132.76,79656.0
2015-07-24,AAPL,P,100.0,124.27,12427.0
2015-07-24,AAPL,P,100.0,124.34,12434.0
2015-07-24,AAPL,P,100.0,124.33,12433.0
2015-07-24,AAPL,P,1500.0,124.12,186180.0
2015-07-24,AAPL,S,14985.0,124.49,1865482.65
2015-07-24,AAPL,S,9100.0,125.25,1139775.0
2015-07-27,AAPL,P,2000.0,122.9,245800.0
2015-09-08,AAPL,S,6700.0,110.95,743365.0
2015-09-08,AAPL,S,9618.0,111.82,1075484.76
2015-09-08,AAPL,S,300.0,112.46,33738.0
2015-10-02,AAPL,S,42573.0,110.44,4701762.12
2015-10-02,AAPL,S,4300.0,110.94,477042.0
2015-10-06,AAPL,S,7582.0,110.11,834854.02
2015-10-06,AAPL,S,200.0,111.2,22240.0
2015-10-16,AAPL,S,3300.0,111.88,369204.0
2015-10-20,AAPL,S,2908.0,111.88,325347.04
2015-10-30,AAPL,S,160655.0,120.0,19278600.0
2015-10-30,AAPL,S,39345.0,120.58,4744220.1
2015-10-30,AAPL,S,66793.0,120.48,8047220.640000001
2015-10-30,AAPL,S,3800.0,121.08,460104.0
2015-11-02,AAPL,S,10700.0,120.74,1291918.0
2015-11-02,AAPL,S,2888.0,121.09,349707.92
2015-11-02,AAPL,S,10000.0,120.0,1200000.0
2015-11-03,AAPL,S,10000.0,120.73,1207300.0
2015-11-04,AAPL,S,10000.0,123.07,1230700.0
2015-11-05,AAPL,S,10000.0,121.94,1219400.0
2015-11-06,AAPL,S,10000.0,121.23,1212300.0
2015-11-09,AAPL,S,10000.0,120.81,1208100.0
2016-02-02,AAPL,S,2008.0,95.47,191703.76
2016-03-15,AAPL,S,18241.0,103.92,1895604.72
2016-03-22,AAPL,S,268644.0,106.91,28720730.04
2016-03-30,AAPL,S,268644.0,110.01,29553526.44
2016-04-04,AAPL,S,26284.0,111.43,2928826.12
2016-04-04,AAPL,S,26284.0,111.68,2935397.12
2016-05-23,AAPL,S,103300.0,96.78,9997374.0
2016-05-26,AAPL,S,8000.0,99.75,798000.0
2016-05-26,AAPL,S,25000.0,100.0,2500000.0
2016-05-27,AAPL,S,40755.0,100.0,4075500.0
2016-05-27,AAPL,S,50000.0,99.44,4972000.0
2016-05-27,AAPL,S,25000.0,100.0,2500000.0
2016-05-31,AAPL,S,25000.0,100.0,2500000.0
2016-07-18,AAPL,S,25000.0,100.0,2500000.0
2016-07-19,AAPL,S,10797.0,100.0,1079700.0
2016-08-02,AAPL,S,9829.0,104.87,1030767.23
2016-08-05,AAPL,S,23305.0,107.49,2505054.45
2016-08-09,AAPL,S,70000.0,108.68,7607600.000000001
2016-08-12,AAPL,S,5500.0,108.0,594000.0
2016-08-15,AAPL,S,4327.0,109.0,471643.0
2016-08-16,AAPL,S,24000.0,110.11,2642640.0
2016-08-17,AAPL,S,90153.0,109.15,9840199.95
2016-08-17,AAPL,S,11021.0,108.93,1200517.53
2016-08-25,AAPL,S,207807.0,107.21,22278988.47
2016-08-25,AAPL,S,16193.0,107.73,1744471.89
2016-08-26,AAPL,S,86300.0,107.07,9240141.0
2016-08-26,AAPL,S,23700.0,107.69,2552253.0
2016-08-29,AAPL,S,106700.0,106.82,11397694.0
2016-08-29,AAPL,S,3300.0,107.37,354321.0
2016-08-30,AAPL,S,110000.0,105.95,11654500.0
2016-08-30,AAPL,S,49996.0,105.95,5297076.2
2016-08-31,AAPL,S,49883.0,106.19,5297075.77
2016-09-21,AAPL,S,20100.0,113.0,2271300.0
2016-09-21,AAPL,S,2281.0,113.55,259007.55
2016-10-03,AAPL,S,43769.0,112.59,4927951.71
