as_of_date,open_interest,nc_long,nc_short
2010-06-15,  121827,   11012,   13265
2010-06-22,   57845,   13228,   10903
2010-06-29,   59605,    9173,   11680
2010-07-06,   72124,    9965,   15885
2010-07-13,   76300,   11722,   19242
2010-07-20,   76812,   12255,   13721
2010-07-27,   78205,   12991,   14909
2010-08-03,   83508,   18264,   13702
2010-08-10,   86874,   20826,   13307
2010-08-17,   86763,   16636,   14559
2010-08-24,   93392,   10558,   18892
2010-08-31,   96738,    6865,   22112
2010-09-07,   94852,    8201,   21070
2010-09-14,  121873,   14079,   19434
2010-09-21,   69213,   16819,   13606
2010-09-28,   82561,   30595,   15495
2010-10-05,  111443,   36090,   10627
2010-10-12,  108848,   28709,    9644
2010-10-19,  109183,   25979,    8265
2010-10-26,  115614,   31065,    8932
2010-11-02,  113462,   30794,   10537
2010-11-09,  114938,   27428,   10967
2010-11-16,  123529,   31808,   11049
2010-11-23,  110771,   23300,   11441
2010-11-30,  107048,   22257,   10568
2010-12-07,  110065,   23284,    9870
2010-12-14,  134491,   24366,   10202
2010-12-21,   66711,   24902,    7439
2010-12-28,   74063,   23053,    6810
2011-01-04,   84953,   25846,    6071
2011-01-11,   84045,   24012,    7647
2011-01-18,   88962,   26546,    8300
2011-01-25,   93513,   28500,    7731
2011-02-01,   89303,   27429,    7759
2011-02-08,   86607,   20628,    8772
2011-02-15,   89253,   20979,    7219
2011-02-22,   94932,   25722,    9176
2011-03-01,   91733,   19461,    9738
2011-03-08,   93669,   21788,   10425
2011-03-15,  112617,   13530,   11474
2011-03-22,   54965,   12647,   10676
2011-03-29,   74143,   19335,    9964
2011-04-05,   90141,   25099,    9541
2011-04-12,   84480,   21385,   10051
2011-04-19,   77540,   17352,    9170
2011-04-26,   91470,   25249,    9828
2011-05-03,  106635,   32380,    7708
2011-05-10,  104332,   29101,    6552
2011-05-17,   93078,   22330,    5324
2011-05-24,   87582,   18991,    6423
2011-05-31,   88383,   18823,    6005
2011-06-07,   85862,   14906,    7558
2011-06-14,  100551,   10802,   10035
2011-06-21,   54132,    7606,   11002
2011-06-28,   53574,    7030,    9073
2011-07-05,   58531,   13274,    9510
