date	ouv	haut	bas	clot	vol	devise	
01/10/1985 00:00	110.62	112.16	110.57	112.14	26406897	Pts	
02/10/1985 00:00	112.14	112.54	110.78	110.82	28386207	Pts	
03/10/1985 00:00	110.84	111.18	110.12	110.87	25396552	Pts	
04/10/1985 00:00	110.87	110.87	109.86	110.07	25500000	Pts	
07/10/1985 00:00	110.07	110.14	108.18	108.2	22179310	Pts	
08/10/1985 00:00	108.2	108.27	106.75	107.16	24844828	Pts	
09/10/1985 00:00	107.16	108.99	107.11	108.63	26931034	Pts	
10/10/1985 00:00	108.63	109.51	107.81	109.43	26696552	Pts	
11/10/1985 00:00	109.43	111.12	109.43	111.05	27279310	Pts	
14/10/1985 00:00	111.05	113.27	111.05	113.18	21227586	Pts	
15/10/1985 00:00	113.18	113.98	112.79	113.38	29544828	Pts	
16/10/1985 00:00	113.38	114.34	113.2	114.32	30193103	Pts	
17/10/1985 00:00	114.32	115.34	114.32	114.74	32920690	Pts	
18/10/1985 00:00	114.74	114.96	113.83	114.32	31186207	Pts	
21/10/1985 00:00	114.32	114.46	113.65	113.68	24620690	Pts	
22/10/1985 00:00	113.8	114.89	113.43	114.44	27196552	Pts	
23/10/1985 00:00	114.44	115.53	114.44	115.07	34862069	Pts	
24/10/1985 00:00	115.07	116.11	115.07	115.49	32906897	Pts	
25/10/1985 00:00	115.49	115.54	113.74	113.91	28593103	Pts	
28/10/1985 00:00	113.91	113.91	113.21	113.82	22665517	Pts	
29/10/1985 00:00	113.82	115.74	113.81	115.4	28172414	Pts	
30/10/1985 00:00	115.4	116.12	115.34	115.77	33800000	Pts	
31/10/1985 00:00	115.77	116.11	115.15	115.48	29296552	Pts	
01/11/1985 00:00	115.48	116.78	115.48	116.28	31065517	Pts	
04/11/1985 00:00	116.28	117.07	115.82	116.04	25979310	Pts	
05/11/1985 00:00	116.04	116.57	115.88	116.44	30234483	Pts	
06/11/1985 00:00	116.44	117.62	116.44	117.38	32241379	Pts	
07/11/1985 00:00	117.38	117.96	117.38	117.62	30565517	Pts	
08/11/1985 00:00	117.62	119.39	117.58	119.26	29917241	Pts	
11/11/1985 00:00	119.26	120.54	119.18	120.4	27720690	Pts	
12/11/1985 00:00	120.39	122.01	120.39	121.82	37344828	Pts	
13/11/1985 00:00	121.82	121.92	120.9	121.17	32141379	Pts	
14/11/1985 00:00	121.17	121.92	120.8	121.83	33806897	Pts	
15/11/1985 00:00	121.83	123.1	121.79	122.18	32851724	Pts	
18/11/1985 00:00	122.18	122.28	121.73	121.96	28348276	Pts	
19/11/1985 00:00	121.96	122.8	121.74	122.57	35103448	Pts	
20/11/1985 00:00	122.57	122.79	122.2	122.2	33655172	Pts	
21/11/1985 00:00	122.2	123.81	122.2	123.61	41344828	Pts	
22/11/1985 00:00	123.61	124.33	123.44	123.97	35931034	Pts	
25/11/1985 00:00	123.97	124.17	122.82	123.14	28768966	Pts	
26/11/1985 00:00	123.14	124.25	123.09	123.95	32286207	Pts	
27/11/1985 00:00	123.95	125.88	123.88	125.77	35620690	Pts	
29/11/1985 00:00	125.77	126.43	125.52	126.06	19858621	Pts	
02/12/1985 00:00	126.06	126.28	124.86	125.18	29572414	Pts	
03/12/1985 00:00	125.18	125.42	124.72	125.23	29151724	Pts	
04/12/1985 00:00	125.23	128.05	125.17	127.94	40413793	Pts	
05/12/1985 00:00	128.07	129.89	127.86	128.46	48793103	Pts	
06/12/1985 00:00	128.46	128.54	126.78	126.96	38206897	Pts	
09/12/1985 00:00	126.96	127.64	126.83	127.49	36137931	Pts	
10/12/1985 00:00	127.49	128.52	127.15	127.97	38551724	Pts	
