date,short_volume,total_volume
2018-08-01,8544404.0,11734393.0
2018-08-02,10023588.0,12609780.0
2018-08-03,6415920.0,8425119.0
2018-08-06,4868326.0,6725396.0
2018-08-07,6540522.0,8026821.0
2018-08-08,3695606.0,5788662.0
2018-08-09,3213641.0,4215216.0
2018-08-10,6308953.0,8019998.0
2018-08-13,4635992.0,6072057.0
2018-08-14,3873415.0,5473379.0
2018-08-15,8620364.0,14680153.0
2018-08-16,4607020.0,7272926.0
2018-08-17,7341315.0,11155303.0
2018-08-20,3494741.0,7072833.0
2018-08-21,3573492.0,6229093.0
2018-08-22,2339864.0,4034245.0
2018-08-23,4723748.0,6997847.0
2018-08-24,4025024.0,5721528.0
2018-08-27,6857828.0,8382893.0
2018-08-28,3533157.0,5411948.0
2018-08-29,6369535.0,8658485.0
2018-08-30,4831128.0,7457514.0
2018-08-31,6001674.0,8506655.0
2018-09-04,6207811.0,8623432.0
2018-09-05,7674022.0,10623600.0
2018-09-06,5785099.0,10504747.0
2018-09-07,7375069.0,13013225.0
2018-09-10,3693907.0,5795087.0
2018-09-11,6781712.0,8977673.0
2018-09-12,6479679.0,10182649.0
2018-09-13,6304567.0,8990543.0
2018-09-14,6321422.0,10193042.0
2018-09-17,5412132.0,7659335.0
2018-09-18,7223671.0,9902443.0
2018-09-19,4050318.0,6968151.0
2018-09-20,5730239.0,7951920.0
2018-09-21,6248290.0,10890459.0
2018-09-24,3160444.0,7310216.0
2018-09-25,3079148.0,6242602.0
2018-09-26,3089104.0,7094223.0
2018-09-27,4841013.0,8351013.0
2018-09-28,3528925.0,6844285.0
2018-10-01,3930512.0,7179523.0
2018-10-02,2500644.0,5298822.0
2018-10-03,2666954.0,6321714.0
2018-10-04,11554396.0,22690251.0
2018-10-05,7377736.0,17715743.0
2018-10-08,8835365.0,16437827.0
2018-10-09,5166586.0,9998157.0
2018-10-10,17367184.0,25866516.0
2018-10-11,16350763.0,23791543.0
2018-10-12,8932526.0,19687836.0
2018-10-15,8744873.0,12630912.0
2018-10-16,10415997.0,14369635.0
2018-10-17,11420362.0,15816523.0
2018-10-18,11104384.0,18277594.0
2018-10-19,9322681.0,15315845.0
2018-10-22,6717246.0,11542982.0
2018-10-23,9647660.0,14408950.0
2018-10-24,13067798.0,19518153.0
2018-10-25,10882119.0,16311035.0
2018-10-26,18114214.0,26354247.0
2018-10-29,15895490.0,24781172.0
2018-10-30,10695163.0,18001854.0
2018-10-31,9300039.0,18079096.0
2018-11-01,8905485.0,14313359.0
2018-11-02,12871996.0,19114590.0
2018-11-05,5101904.0,8649048.0
2018-11-06,4444268.0,7713950.0
2018-11-07,6246411.0,10488642.0
2018-11-08,6505333.0,11301299.0
2018-11-09,7572360.0,14411690.0
2018-11-12,5293615.0,13819062.0
2018-11-13,7181558.0,14146055.0
2018-11-14,9978884.0,16781370.0
2018-11-15,12965102.0,16714842.0
2018-11-16,8761810.0,13649016.0
2018-11-19,7748186.0,11835435.0
2018-11-20,15927314.0,26576090.0
2018-11-21,6202868.0,9762118.0
2018-11-23,3844600.0,6177742.0
2018-11-26,6179355.0,9249467.0
2018-11-27,6016359.0,10562420.0
2018-11-28,14128732.0,21743881.0
2018-11-29,8347208.0,12269555.0
2018-11-30,7080266.0,10116779.0
2018-12-03,9966087.0,13771183.0
2018-12-04,10300794.0,15337487.0
2018-12-06,9128790.0,15734397.0
2018-12-07,11505571.0,17109155.0
2018-12-10,10742935.0,15757161.0
2018-12-11,8258950.0,12463337.0
2018-12-12,7796655.0,10807986.0
2018-12-13,6943183.0,11739521.0
2018-12-14,7359237.0,10583894.0
2018-12-17,13082028.0,17871953.0
2018-12-18,11673958.0,16493930.0
2018-12-19,12451081.0,18795096.0
2018-12-20,14068626.0,20709404.0
2018-12-21,13920864.0,24884666.0
2018-12-24,9616295.0,18290610.0
2018-12-26,17085261.0,24176599.0
2018-12-27,12313669.0,21927534.0
2018-12-28,15092835.0,23097686.0
2018-12-31,8722037.0,14895667.0
2019-01-02,6219097.0,13120091.0
2019-01-03,7307110.0,16778290.0
2019-01-04,9397112.0,16367361.0
2019-01-07,8426861.0,16149322.0
2019-01-08,7295921.0,13729315.0
