date	ouv	haut	bas	clot	vol	devise	
02/01/1970 00:00	92.060	93.540	91.790	93.000	8050000	Pts	
05/01/1970 00:00	93.000	94.250	92.530	93.460	11490000	Pts	
06/01/1970 00:00	93.460	93.810	92.130	92.820	11460000	Pts	
07/01/1970 00:00	92.820	93.380	91.930	92.630	10010000	Pts	
08/01/1970 00:00	92.630	93.470	91.990	92.680	10670000	Pts	
09/01/1970 00:00	92.680	93.250	91.820	92.400	9380000	Pts	
12/01/1970 00:00	92.400	92.670	91.200	91.700	8900000	Pts	
13/01/1970 00:00	91.700	92.610	90.990	91.920	9870000	Pts	
14/01/1970 00:00	91.920	92.400	90.880	91.650	10380000	Pts	
15/01/1970 00:00	91.650	92.350	90.730	91.680	11120000	Pts	
16/01/1970 00:00	91.680	92.490	90.360	90.920	11940000	Pts	
19/01/1970 00:00	90.720	90.720	89.140	89.650	9500000	Pts	
20/01/1970 00:00	89.650	90.450	88.640	89.830	11050000	Pts	
21/01/1970 00:00	89.830	90.610	89.200	89.950	9880000	Pts	
22/01/1970 00:00	89.950	90.800	89.200	90.040	11050000	Pts	
23/01/1970 00:00	90.040	90.450	88.740	89.370	11000000	Pts	
26/01/1970 00:00	89.230	89.230	87.490	88.170	10670000	Pts	
27/01/1970 00:00	88.170	88.540	86.920	87.620	9630000	Pts	
28/01/1970 00:00	87.620	88.240	86.440	86.790	10510000	Pts	
29/01/1970 00:00	86.790	87.090	85.020	85.690	12210000	Pts	
30/01/1970 00:00	85.690	86.330	84.420	85.020	12320000	Pts	
02/02/1970 00:00	85.020	86.760	84.760	85.750	13440000	Pts	
03/02/1970 00:00	85.750	87.540	84.640	86.770	16050000	Pts	
04/02/1970 00:00	86.770	87.660	85.590	86.240	11040000	Pts	
05/02/1970 00:00	86.240	86.620	84.950	85.900	9430000	Pts	
06/02/1970 00:00	85.900	86.880	85.230	86.330	10150000	Pts	
09/02/1970 00:00	86.330	87.850	86.160	87.010	10830000	Pts	
10/02/1970 00:00	87.010	87.400	85.580	86.100	10110000	Pts	
11/02/1970 00:00	86.100	87.380	85.300	86.940	12260000	Pts	
12/02/1970 00:00	86.940	87.540	85.930	86.730	10010000	Pts	
13/02/1970 00:00	86.730	87.300	85.710	86.540	11060000	Pts	
16/02/1970 00:00	86.540	87.300	85.800	86.470	19780000	Pts	
17/02/1970 00:00	86.470	87.080	85.570	86.370	10140000	Pts	
18/02/1970 00:00	86.370	88.070	86.190	87.440	11950000	Pts	
19/02/1970 00:00	87.440	88.700	86.940	87.760	12890000	Pts	
20/02/1970 00:00	87.760	88.740	86.870	88.030	10790000	Pts	
24/02/1970 00:00	88.030	88.910	87.280	87.990	10810000	Pts	
25/02/1970 00:00	87.990	89.800	87.110	89.350	13210000	Pts	
26/02/1970 00:00	89.350	89.630	87.630	88.900	11540000	Pts	
27/02/1970 00:00	88.900	90.330	88.420	89.500	12890000	Pts	
02/03/1970 00:00	89.500	90.800	88.920	89.710	12270000	Pts	
03/03/1970 00:00	89.710	90.670	88.960	90.230	11700000	Pts	
04/03/1970 00:00	90.230	91.050	89.320	90.040	11850000	Pts	
05/03/1970 00:00	90.040	90.990	89.380	90.000	11370000	Pts	
06/03/1970 00:00	90.000	90.360	88.840	89.440	10980000	Pts	
09/03/1970 00:00	89.430	89.430	87.940	88.510	9760000	Pts	
10/03/1970 00:00	88.510	89.410	87.890	88.750	9450000	Pts	
11/03/1970 00:00	88.750	89.580	88.110	88.690	9180000	Pts	
12/03/1970 00:00	88.690	89.090	87.680	88.330	9140000	Pts	
13/03/1970 00:00	88.330	89.430	87.290	87.860	9560000	Pts	
