date	ouv	haut	bas	clot	vol	devise	
30/07/2002 00:00	81.75	81.9	81.52	81.52	6100	USD	
31/07/2002 00:00	81.95	82.8	81.9	82.53	29400	USD	
01/08/2002 00:00	82.54	83.02	82.54	83	25000	USD	
02/08/2002 00:00	83.16	84.1	82.88	83.85	52800	USD	
05/08/2002 00:00	84.04	84.44	83.85	84.22	61100	USD	
06/08/2002 00:00	83.87	83.9	83.22	83.5	64900	USD	
07/08/2002 00:00	83.6	84.14	83.36	83.7	40300	USD	
08/08/2002 00:00	83.58	83.77	83.36	83.7	40900	USD	
09/08/2002 00:00	84	84.88	84	84.88	35900	USD	
12/08/2002 00:00	85.3	86.7	85.14	85.4	32100	USD	
13/08/2002 00:00	85.78	86.47	85.37	86.45	75400	USD	
14/08/2002 00:00	87.46	87.9	86.75	86.78	130000	USD	
15/08/2002 00:00	86.38	86.5	85.85	86.02	87100	USD	
16/08/2002 00:00	86.44	86.52	84.82	85.06	85000	USD	
19/08/2002 00:00	85.05	85.34	84.71	85.32	47300	USD	
20/08/2002 00:00	85.62	86.29	85.6	86.27	40800	USD	
21/08/2002 00:00	85.68	86.1	85.63	85.81	40000	USD	
22/08/2002 00:00	85.55	85.55	85.06	85.06	34400	USD	
23/08/2002 00:00	85.2	85.95	85.2	85.9	20100	USD	
26/08/2002 00:00	85.7	86.21	85.67	85.98	23900	USD	
27/08/2002 00:00	85.4	85.68	85.2	85.44	301800	USD	
28/08/2002 00:00	86.04	86.18	85.84	85.87	18100	USD	
29/08/2002 00:00	86.76	86.86	86.35	86.56	135700	USD	
30/08/2002 00:00	86.75	87.13	86.45	87.08	78100	USD	
03/09/2002 00:00	87.08	88.04	87	88.04	102100	USD	
04/09/2002 00:00	88.03	88.3	87.84	88.02	66300	USD	
05/09/2002 00:00	88.57	88.65	87.38	88.5	648400	USD	
06/09/2002 00:00	87.97	88.19	87.2	87.46	140000	USD	
09/09/2002 00:00	87.5	87.83	87.26	87.33	83800	USD	
10/09/2002 00:00	87.17	88	87	87.75	336000	USD	
11/09/2002 00:00	87	87.3	86.75	87.29	177700	USD	
12/09/2002 00:00	87.48	88.14	87.47	87.97	43400	USD	
13/09/2002 00:00	88.33	88.94	88.18	88.78	155100	USD	
16/09/2002 00:00	89.2	89.22	88.9	88.93	73000	USD	
17/09/2002 00:00	88.64	89.32	88.36	89.1	75400	USD	
18/09/2002 00:00	89.16	89.56	89.02	89.12	196600	USD	
19/09/2002 00:00	89.7	89.77	89.26	89.72	109900	USD	
20/09/2002 00:00	89.45	89.52	89.06	89.3	113500	USD	
23/09/2002 00:00	90	90.24	89.77	90.1	163200	USD	
24/09/2002 00:00	90.3	90.94	90.21	90.68	251900	USD	
25/09/2002 00:00	90.1	90.36	89.26	89.58	127200	USD	
26/09/2002 00:00	89.05	89.53	88.61	89.37	429000	USD	
27/09/2002 00:00	89.53	90.04	89.48	90.04	298200	USD	
30/09/2002 00:00	90.66	90.9	90.08	90.4	297800	USD	
01/10/2002 00:00	89.16	89.3	88.8	88.94	257500	USD	
02/10/2002 00:00	89.24	89.48	88.84	89.45	91000	USD	
03/10/2002 00:00	89.3	89.51	88.8	89.23	29900	USD	
04/10/2002 00:00	88.4	89.72	88.4	89.51	131000	USD	
07/10/2002 00:00	89.9	89.96	89.46	89.66	433800	USD	
08/10/2002 00:00	89.5	90.52	89.36	89.69	530900	USD	
09/10/2002 00:00	90.3	90.38	89.95	90.15	402900	USD	
10/10/2002 00:00	90.17	90.17	89.28	89.44	97100	USD	
11/10/2002 00:00	89.1	89.22	88.06	88.38	421800	USD	
14/10/2002 00:00	88.5	88.55	88.07	88.25	18300	USD	
15/10/2002 00:00	87	87.3	86.15	86.16	297100	USD	
16/10/2002 00:00	86.6	86.6	85.89	86.2	125200	USD	
17/10/2002 00:00	85.14	85.56	85.07	85.15	233400	USD	
18/10/2002 00:00	85.02	85.39	84.28	85.37	459100	USD	
21/10/2002 00:00	85.5	85.6	84.5	84.54	134900	USD	
22/10/2002 00:00	84.85	84.85	84.22	84.3	205000	USD	
23/10/2002 00:00	84.75	85.2	84.18	84.33	127800	USD	
24/10/2002 00:00	84.16	85.25	84.08	85.07	339600	USD	
25/10/2002 00:00	85.35	85.56	85.15	85.38	146100	USD	
28/10/2002 00:00	85.56	85.64	85.2	85.26	97800	USD	
29/10/2002 00:00	85.82	86.89	85.77	86.37	125000	USD	
30/10/2002 00:00	86.37	86.68	86.07	86.34	31900	USD	
31/10/2002 00:00	86.05	86.86	86.02	86.73	512700	USD	
01/11/2002 00:00	86.3	86.93	85.25	85.98	125100	USD	
04/11/2002 00:00	85.48	85.75	85.25	85.6	342500	USD	
05/11/2002 00:00	85.6	85.6	85.09	85.27	73800	USD	
06/11/2002 00:00	85.05	86.13	84.91	85.61	118500	USD	
07/11/2002 00:00	87.05	87.73	86.85	87.73	147900	USD	
08/11/2002 00:00	88.4	88.65	87.95	88.44	294700	USD	
11/11/2002 00:00	88.55	88.92	88.4	88.92	70000	USD	
12/11/2002 00:00	89.15	89.15	88.37	88.41	494300	USD	
13/11/2002 00:00	88.45	88.69	87.96	88.6	104700	USD	
14/11/2002 00:00	87.65	87.65	86.76	86.76	118000	USD	
15/11/2002 00:00	86.54	87.23	86.26	87.11	110700	USD	
18/11/2002 00:00	87.02	87.63	86.96	87.5	32200	USD	
19/11/2002 00:00	87.95	88.23	87.51	87.82	51800	USD	
20/11/2002 00:00	88.2	88.22	86.81	86.96	307400	USD	
21/11/2002 00:00	86.5	86.5	85.86	86.12	323200	USD	
22/11/2002 00:00	86.33	86.39	85.88	86.04	184800	USD	
25/11/2002 00:00	86	86.38	85.8	85.88	288200	USD	
26/11/2002 00:00	86.2	87.02	86.15	86.96	377800	USD	
27/11/2002 00:00	86.25	86.33	84.96	85	325600	USD	
29/11/2002 00:00	85.16	85.63	85.14	85.55	31700	USD	
02/12/2002 00:00	84.36	85.4	84.15	85.24	284900	USD	
03/12/2002 00:00	85.7	85.7	85.12	85.36	113800	USD	
04/12/2002 00:00	85.9	86	85.55	85.8	129000	USD	
05/12/2002 00:00	85.28	86.28	85.26	86.02	206400	USD	
06/12/2002 00:00	87	87.09	85.76	86.17	440500	USD	
09/12/2002 00:00	86.2	86.85	86.17	86.65	400300	USD	
10/12/2002 00:00	86.61	86.93	86.5	86.88	151600	USD	
11/12/2002 00:00	87.15	87.65	86.96	87.46	163800	USD	
12/12/2002 00:00	87.06	87.6	87.06	87.38	135800	USD	
13/12/2002 00:00	87.14	87.16	86.53	86.53	425800	USD	
16/12/2002 00:00	86.9	86.9	85.84	85.88	115700	USD	
17/12/2002 00:00	86.3	86.35	85.68	85.88	290600	USD	
18/12/2002 00:00	86.48	86.69	86.25	86.55	191000	USD	
19/12/2002 00:00	86.8	87.49	86.65	87.32	134400	USD	
20/12/2002 00:00	87.23	87.56	87.15	87.38	41900	USD	
23/12/2002 00:00	87.36	87.4	86.25	87.4	74200	USD	
24/12/2002 00:00	88	88.08	87.84	87.89	46600	USD	
26/12/2002 00:00	87.9	88.06	87.73	88.06	13500	USD	
27/12/2002 00:00	88.55	89.03	88.28	89.03	140200	USD	
30/12/2002 00:00	88.9	89.24	88.63	89.24	274900	USD	
31/12/2002 00:00	88.95	89.33	88.32	88.57	109400	USD	
02/01/2003 00:00	87.7	87.9	86.21	86.28	192100	USD	
03/01/2003 00:00	86.15	86.54	85.83	86.48	311200	USD	
06/01/2003 00:00	86.17	86.29	85.81	86.25	35600	USD	
07/01/2003 00:00	86.19	86.75	86.17	86.56	69800	USD	
08/01/2003 00:00	86.88	87.14	86.78	86.99	160100	USD	
09/01/2003 00:00	86.17	86.17	85.02	85.32	237500	USD	
10/01/2003 00:00	85.92	85.92	85.12	85.54	145200	USD	
13/01/2003 00:00	85.54	85.87	85.4	85.68	53300	USD	
14/01/2003 00:00	86	86.28	85.96	85.98	98900	USD	
15/01/2003 00:00	86.28	86.7	86.2	86.4	129600	USD	
16/01/2003 00:00	86.38	86.6	85.62	86.52	57900	USD	
17/01/2003 00:00	87.1	87.24	86.93	86.95	97700	USD	
21/01/2003 00:00	86.88	87.45	86.8	87.45	107500	USD	
22/01/2003 00:00	87.68	87.9	87.52	87.88	107100	USD	
23/01/2003 00:00	87.32	87.7	87.3	87.45	110700	USD	
24/01/2003 00:00	87.74	88.44	87.74	87.97	285300	USD	
27/01/2003 00:00	87.9	88.04	87.5	87.65	150500	USD	
28/01/2003 00:00	87.65	87.78	87.1	87.65	454700	USD	
29/01/2003 00:00	87.83	87.88	86.98	87.17	221400	USD	
30/01/2003 00:00	87.2	87.9	87.1	87.82	108600	USD	
31/01/2003 00:00	87.9	88.21	87.54	88.06	182300	USD	
03/02/2003 00:00	87.67	87.91	87.31	87.88	55200	USD	
04/02/2003 00:00	88.37	88.4	88.11	88.27	56900	USD	
05/02/2003 00:00	88.23	88.7	87.43	87.51	223300	USD	
06/02/2003 00:00	87.84	88.26	87.79	88.22	120900	USD	
07/02/2003 00:00	87.77	88.52	87.63	88.42	247200	USD	
10/02/2003 00:00	88.12	88.4	87.69	87.8	76600	USD	
11/02/2003 00:00	87.6	87.91	87.43	87.78	259100	USD	
12/02/2003 00:00	87.8	88.13	87.67	88.09	121300	USD	
13/02/2003 00:00	88.27	89.18	88.17	88.57	440200	USD	
14/02/2003 00:00	88.3	88.37	87.61	87.81	829700	USD	
18/02/2003 00:00	87.56	87.98	87.34	87.92	213200	USD	
19/02/2003 00:00	88.39	88.7	88.25	88.52	62100	USD	
20/02/2003 00:00	88.34	88.9	88.34	88.82	486700	USD	
21/02/2003 00:00	88.56	88.72	88.21	88.3	250400	USD	
24/02/2003 00:00	88.88	88.9	88.62	88.72	168200	USD	
25/02/2003 00:00	89.4	89.65	89	89.13	358500	USD	
26/02/2003 00:00	89.38	89.75	89.15	89.75	334000	USD	
27/02/2003 00:00	89.46	89.99	89.31	89.9	695700	USD	
