date	ouv	haut	bas	clot	vol	devise	
01/03/2007 00:00	24.93	25.00	24.93	24.97	4600	USD	
02/03/2007 00:00	25.02	25.26	24.95	24.96	2400	USD	
05/03/2007 00:00	25.11	25.13	25.10	25.12	1100	USD	
06/03/2007 00:00	25.10	25.10	25.10	25.10	400	USD	
07/03/2007 00:00	25.08	25.08	24.99	25.00	2800	USD	
08/03/2007 00:00	25.15	25.15	25.12	25.12	42200	USD	
09/03/2007 00:00	25.20	25.20	25.16	25.16	700	USD	
12/03/2007 00:00	25.08	25.08	25.08	25.08	200	USD	
13/03/2007 00:00	25.00	25.02	25.00	25.02	1100	USD	
14/03/2007 00:00	25.04	25.04	24.96	24.96	2000	USD	
15/03/2007 00:00	24.96	24.96	24.96	24.96	0	USD	
16/03/2007 00:00	24.86	24.89	24.86	24.87	4000	USD	
19/03/2007 00:00	24.87	25.00	24.87	25.00	2200	USD	
20/03/2007 00:00	24.88	24.88	24.85	24.85	1400	USD	
21/03/2007 00:00	24.78	24.78	24.78	24.78	200	USD	
22/03/2007 00:00	24.80	24.80	24.60	24.78	17500	USD	
23/03/2007 00:00	24.87	24.93	24.87	24.93	4100	USD	
26/03/2007 00:00	24.91	24.91	24.85	24.85	3100	USD	
27/03/2007 00:00	24.87	24.87	24.84	24.84	200	USD	
28/03/2007 00:00	24.80	24.85	24.80	24.84	3400	USD	
29/03/2007 00:00	24.87	24.87	24.87	24.87	100	USD	
30/03/2007 00:00	24.80	24.80	24.79	24.79	200	USD	
02/04/2007 00:00	24.83	24.85	24.76	24.85	4100	USD	
03/04/2007 00:00	24.89	24.89	24.88	24.88	5200	USD	
04/04/2007 00:00	24.85	24.85	24.85	24.85	500	USD	
05/04/2007 00:00	24.77	24.77	24.77	24.77	1100	USD	
09/04/2007 00:00	24.93	24.96	24.92	24.93	22700	USD	
10/04/2007 00:00	24.84	24.87	24.83	24.85	30500	USD	
11/04/2007 00:00	24.85	25.26	24.82	24.85	172000	USD	
12/04/2007 00:00	24.78	24.78	24.70	24.70	8900	USD	
13/04/2007 00:00	24.66	24.71	24.64	24.69	8300	USD	
16/04/2007 00:00	24.69	24.69	24.59	24.59	22600	USD	
17/04/2007 00:00	24.60	24.60	24.55	24.58	23600	USD	
18/04/2007 00:00	24.52	24.56	24.46	24.55	18300	USD	
19/04/2007 00:00	24.54	24.56	24.51	24.55	26800	USD	
20/04/2007 00:00	24.55	24.55	24.43	24.46	24200	USD	
23/04/2007 00:00	24.63	24.63	24.55	24.59	29300	USD	
24/04/2007 00:00	24.59	24.63	24.50	24.56	42300	USD	
25/04/2007 00:00	24.54	24.55	24.50	24.52	7600	USD	
26/04/2007 00:00	24.63	24.64	24.60	24.62	40800	USD	
27/04/2007 00:00	24.50	24.60	24.44	24.54	55800	USD	
30/04/2007 00:00	24.51	24.53	24.47	24.49	6300	USD	
01/05/2007 00:00	24.50	24.65	24.50	24.64	2500	USD	
02/05/2007 00:00	24.65	24.67	24.58	24.66	21300	USD	
03/05/2007 00:00	24.66	24.75	24.66	24.69	13100	USD	
04/05/2007 00:00	24.64	24.66	24.56	24.60	90800	USD	
07/05/2007 00:00	24.60	24.75	24.60	24.66	52500	USD	
08/05/2007 00:00	24.66	24.74	24.66	24.73	147000	USD	
09/05/2007 00:00	24.68	24.76	24.68	24.76	9700	USD	
10/05/2007 00:00	24.79	24.86	24.76	24.79	15000	USD	
11/05/2007 00:00	24.82	24.83	24.77	24.81	24100	USD	
14/05/2007 00:00	24.74	24.80	24.39	24.79	15400	USD	
15/05/2007 00:00	24.81	24.81	24.64	24.71	31100	USD	
16/05/2007 00:00	24.78	24.83	24.68	24.82	13000	USD	
17/05/2007 00:00	24.88	24.89	24.86	24.88	8100	USD	
18/05/2007 00:00	24.87	24.88	24.82	24.83	10400	USD	
21/05/2007 00:00	24.92	24.94	24.89	24.90	16400	USD	
22/05/2007 00:00	24.91	24.92	24.88	24.91	7800	USD	
23/05/2007 00:00	24.85	24.90	24.60	24.89	9900	USD	
24/05/2007 00:00	24.88	24.93	24.88	24.93	6100	USD	
25/05/2007 00:00	24.92	24.92	24.87	24.91	10700	USD	
29/05/2007 00:00	24.83	24.92	24.81	24.92	9600	USD	
30/05/2007 00:00	24.92	24.97	24.89	24.96	22600	USD	
31/05/2007 00:00	24.88	24.92	24.88	24.92	2400	USD	
01/06/2007 00:00	24.96	24.98	24.90	24.93	12500	USD	
04/06/2007 00:00	24.83	24.83	24.82	24.83	8000	USD	
05/06/2007 00:00	24.75	24.80	24.60	24.76	95700	USD	
06/06/2007 00:00	24.84	24.88	24.47	24.80	54500	USD	
07/06/2007 00:00	24.88	24.96	24.86	24.96	16300	USD	
08/06/2007 00:00	25.09	25.09	24.56	25.04	8400	USD	
11/06/2007 00:00	25.09	25.12	25.06	25.10	9700	USD	
12/06/2007 00:00	25.12	25.15	25.07	25.15	156700	USD	
13/06/2007 00:00	25.21	25.22	25.17	25.20	10200	USD	
14/06/2007 00:00	25.21	25.23	25.17	25.23	12100	USD	
15/06/2007 00:00	25.15	25.17	25.09	25.09	52500	USD	
18/06/2007 00:00	25.07	25.15	25.06	25.06	54900	USD	
19/06/2007 00:00	25.11	25.11	25.07	25.07	2500	USD	
20/06/2007 00:00	25.05	28.97	24.08	24.12	4300	USD	
21/06/2007 00:00	25.10	25.22	25.04	25.10	3300	USD	
22/06/2007 00:00	25.00	25.05	24.95	24.95	46800	USD	
25/06/2007 00:00	25.01	25.05	25.00	25.03	9400	USD	
26/06/2007 00:00	24.98	25.02	24.93	24.99	17800	USD	
27/06/2007 00:00	25.01	25.03	25.01	25.03	2400	USD	
28/06/2007 00:00	24.97	25.03	24.97	25.03	5900	USD	
29/06/2007 00:00	24.92	24.99	24.88	24.88	3600	USD	
02/07/2007 00:00	24.84	24.85	24.62	24.75	15800	USD	
03/07/2007 00:00	24.71	24.81	24.71	24.71	6500	USD	
05/07/2007 00:00	24.81	24.83	24.81	24.83	12100	USD	
06/07/2007 00:00	24.81	24.81	24.78	24.78	500	USD	
09/07/2007 00:00	24.79	24.82	24.78	24.79	8800	USD	
10/07/2007 00:00	24.70	24.70	24.62	24.62	4900	USD	
11/07/2007 00:00	24.58	24.62	24.58	24.59	4900	USD	
12/07/2007 00:00	24.56	24.58	24.54	24.55	73000	USD	
13/07/2007 00:00	24.55	24.57	24.55	24.57	600	USD	
16/07/2007 00:00	24.56	24.58	24.53	24.56	3800	USD	
17/07/2007 00:00	24.56	24.57	24.56	24.56	700	USD	
18/07/2007 00:00	24.50	24.54	24.50	24.54	1100	USD	
19/07/2007 00:00	24.50	24.53	24.49	24.53	11200	USD	
20/07/2007 00:00	24.48	24.49	24.46	24.49	600	USD	
23/07/2007 00:00	24.50	24.54	24.49	24.54	16800	USD	
24/07/2007 00:00	24.48	24.50	24.35	24.35	18100	USD	
25/07/2007 00:00	24.54	24.59	24.54	24.56	6100	USD	
26/07/2007 00:00	24.56	24.56	24.44	24.45	3000	USD	
27/07/2007 00:00	24.64	26.50	24.64	24.65	26500	USD	
30/07/2007 00:00	24.67	24.69	24.67	24.69	5200	USD	
31/07/2007 00:00	24.67	24.67	24.30	24.65	6600	USD	
01/08/2007 00:00	24.71	24.71	24.61	24.66	11200	USD	
02/08/2007 00:00	24.67	24.70	24.64	24.70	900	USD	
03/08/2007 00:00	24.59	24.59	24.47	24.47	20100	USD	
06/08/2007 00:00	24.48	24.52	24.48	24.52	3300	USD	
07/08/2007 00:00	24.53	24.61	24.53	24.59	13700	USD	
08/08/2007 00:00	24.49	24.53	24.49	24.52	4300	USD	
09/08/2007 00:00	24.71	24.71	24.68	24.71	6200	USD	
10/08/2007 00:00	24.74	24.75	24.71	24.73	40500	USD	
13/08/2007 00:00	24.75	24.83	24.72	24.80	25400	USD	
14/08/2007 00:00	24.88	24.96	24.88	24.96	39600	USD	
15/08/2007 00:00	25.06	25.10	25.02	25.07	26800	USD	
