test,start,end,ann_ret,SR,t,MDD,SR2025,ann2025,by_year,time_in,switches
A BTC Binance carry always-on,2020-01-01,2026-06-30,0.0793041873015873,8.411776644079378,21.44816634965762,-0.014817626791276073,14.730694096028634,0.034275360000000005,2020:11%/7.7 2021:20%/13.8 2022:3%/5.8 2023:5%/14.2 2024:8%/15.3 2025:3%/14.7 2026:1%/2.5,1.0,0.0
A BTC Binance carry enter>5% exit<0%,2020-01-01,2026-06-30,0.0734026843657817,7.494481867236188,19.10926794592355,-0.009983279294817793,8.915937755321234,0.029048860000000003,2020:11%/7.5 2021:20%/13.4 2022:1%/1.3 2023:5%/11.9 2024:8%/14.1 2025:3%/8.9 2026:0%/0.7,0.7992413599325653,36.0
A BTC Binance carry enter>10% exit<5%,2020-01-01,2026-06-30,0.061582492372524215,6.556625413467735,16.71794182260287,-0.008263889512460931,4.493042884655191,0.011646693333333333,2020:10%/7.2 2021:20%/13.3 2022:-0%/-0.4 2023:2%/4.7 2024:7%/11.4 2025:1%/4.5 2026:0%/nan,0.4525147513346446,36.0
A BTC Binance carry enter>20% exit<10%,2020-01-01,2026-06-30,0.04755447644332069,5.344131243964593,13.626350385281777,-0.007207200825651072,,0.0,2020:9%/6.6 2021:18%/11.9 2022:0%/nan 2023:0%/1.8 2024:4%/6.7 2025:0%/nan 2026:0%/nan,0.2051137960101152,18.0
B Bybit XS carry top5 reb1d thr0%,2023-01-02,2025-05-16,-0.10489475838924946,-1.131726787598175,-1.7432276644205953,-0.2528084858881401,-2.318003004403056,-0.3156880399980562,2023:-3%/-0.8 2024:-10%/-0.9 2025:-32%/-2.3,,
B Bybit XS carry top5 reb1d thr10%,2023-01-02,2025-05-16,-0.09845380446759364,-1.0631134625082033,-1.6375408080561158,-0.2497784362212967,-2.3089822869229617,-0.31440627854404746,2023:-2%/-0.5 2024:-10%/-0.9 2025:-31%/-2.3,,
B Bybit XS carry top5 reb7d thr0%,2023-01-02,2025-05-16,-0.044749425170171275,-0.43706013884649475,-0.673214890203015,-0.15614128717722564,-2.283621621481789,-0.3461812229980114,2023:0%/0.0 2024:2%/0.2 2025:-35%/-2.3,,
B Bybit XS carry top5 reb7d thr10%,2023-01-02,2025-05-16,-0.042913519134879584,-0.4196136284405519,-0.6463415848076497,-0.1540892253755377,-2.2776825885549736,-0.3452756065148997,2023:0%/0.1 2024:2%/0.2 2025:-35%/-2.3,,
B Bybit XS carry top10 reb1d thr0%,2023-01-02,2025-05-16,-0.02889147792825157,-0.49670789740295673,-0.7650918555410691,-0.09769469829452304,-1.7314095037257333,-0.14894693851470078,2023:-2%/-0.8 2024:0%/0.1 2025:-15%/-1.7,,
B Bybit XS carry top10 reb1d thr10%,2023-01-02,2025-05-16,-0.010944438177124304,-0.1889374836910955,-0.29102522978653217,-0.0815917002036507,-1.525498086459291,-0.13117427071511076,2023:0%/0.0 2024:2%/0.3 2025:-13%/-1.5,,
B Bybit XS carry top10 reb7d thr0%,2023-01-02,2025-05-16,0.005886309129050532,0.10117123608677855,0.1558366378906626,-0.06685298063884071,-1.7661005845936675,-0.15786231771747658,2023:1%/0.5 2024:6%/0.9 2025:-16%/-1.8,,
B Bybit XS carry top10 reb7d thr10%,2023-01-02,2025-05-16,0.009959038005256457,0.17200322080459132,0.26494095232326303,-0.0655373547235687,-1.6814388517979482,-0.1500358610936809,2023:1%/0.6 2024:7%/1.0 2025:-15%/-1.7,,
